#{"t_start": 1653469310.1659322, "env_id": null}
r,l,t
1.0,3,0.02298
1.0,6,0.04384
0.0,2,0.056109
0.0,1,0.063942
1.0,6,0.085545
0.0,1,0.093981
0.0,1,0.102237
1.0,3,0.117281
1.0,9,0.147095
0.0,1,0.154626
0.0,6,0.175903
0.0,2,0.190061
0.0,2,0.200429
0.0,1,0.208724
1.0,3,0.224095
0.0,1,0.23126
0.0,4,0.24438
0.0,3,0.256091
0.0,1,0.266836
1.0,7,0.29444
0.0,1,0.30444
1.0,6,0.337779
0.0,1,0.349904
0.0,3,0.363239
0.0,2,0.376735
1.0,7,0.397378
0.0,1,0.404318
0.0,1,0.41275
0.0,4,0.428763
0.0,2,0.440802
0.0,4,0.453784
0.0,4,0.470542
1.0,7,0.494881
1.0,4,0.509012
0.0,1,0.520669
0.0,3,0.533298
0.0,3,0.549323
0.0,2,0.558561
0.0,1,0.567037
0.0,1,0.577312
1.0,4,0.592507
1.0,7,0.628145
0.0,1,0.637231
1.0,5,0.658802
0.0,2,0.66847
0.0,2,0.693838
0.0,3,0.706143
1.0,4,0.72276
1.0,7,0.747387
0.0,2,0.755558
0.0,1,0.762515
0.0,1,0.770926
0.0,2,0.782091
0.0,1,0.789926
0.0,2,0.799257
0.0,1,0.809778
0.0,1,0.818339
0.0,2,0.828594
1.0,5,0.847322
0.0,2,0.859302
0.0,1,0.868401
0.0,2,0.8766
0.0,2,0.889373
0.0,3,0.901884
0.0,3,0.915304
2.0,8,0.941125
1.0,10,0.971616
0.0,1,0.98195
1.0,7,1.003642
0.0,7,1.024275
0.0,2,1.035069
1.0,5,1.052155
0.0,3,1.064015
0.0,2,1.074914
0.0,1,1.08288
0.0,1,1.090842
1.0,5,1.109141
0.0,1,1.117138
0.0,5,1.134027
2.0,5,1.15361
0.0,4,1.16691
0.0,1,1.175236
0.0,2,1.186228
0.0,3,1.198328
0.0,2,1.210985
0.0,1,1.218774
0.0,1,1.227197
1.0,4,1.242453
0.0,2,1.251956
0.0,1,1.261221
0.0,5,1.278376
1.0,6,1.297499
0.0,1,1.30577
0.0,2,1.314502
0.0,1,1.32519
0.0,1,1.332622
0.0,1,1.340519
0.0,4,1.355428
