#{"t_start": 1653470172.6610506, "env_id": null}
r,l,t
0.0,2,0.017075
0.0,3,0.029284
0.0,2,0.041773
0.0,2,0.05216
1.0,3,0.068622
0.0,1,0.076607
0.0,3,0.091498
0.0,1,0.100017
0.0,1,0.109673
0.0,2,0.120895
0.0,3,0.136522
0.0,8,0.164087
0.0,2,0.17427
0.0,1,0.182862
0.0,1,0.191895
0.0,1,0.202234
0.0,1,0.210909
0.0,1,0.21887
0.0,1,0.227652
0.0,2,0.241215
0.0,5,0.259985
0.0,1,0.269402
0.0,1,0.277749
0.0,3,0.292794
0.0,1,0.301457
0.0,1,0.309784
0.0,3,0.324741
0.0,3,0.337992
0.0,2,0.351298
0.0,1,0.360623
0.0,1,0.369323
0.0,2,0.379443
0.0,3,0.393373
0.0,2,0.404514
0.0,1,0.416918
2.0,8,0.441689
0.0,3,0.456033
0.0,2,0.467945
0.0,3,0.481484
0.0,3,0.493796
0.0,3,0.509408
0.0,1,0.518387
0.0,1,0.527478
1.0,6,0.550785
0.0,3,0.563505
0.0,4,0.579875
1.0,6,0.600612
1.0,4,0.618508
0.0,1,0.62681
0.0,1,0.634969
0.0,1,0.645576
0.0,1,0.653215
0.0,3,0.665824
0.0,1,0.676853
0.0,1,0.685501
0.0,2,0.695425
0.0,1,0.703806
0.0,1,0.71449
0.0,1,0.723275
0.0,2,0.734616
0.0,4,0.750144
0.0,2,0.76144
0.0,1,0.774416
0.0,3,0.785887
0.0,3,0.800415
2.0,7,0.823454
0.0,1,0.831673
0.0,3,0.846546
1.0,6,0.866319
0.0,2,0.877461
0.0,3,0.890746
0.0,2,0.904182
0.0,1,0.913339
0.0,1,0.921953
0.0,1,0.929317
0.0,3,0.9435
0.0,1,0.952533
1.0,4,0.969359
0.0,1,0.979096
0.0,3,0.994073
0.0,2,1.005745
1.0,7,1.027925
0.0,1,1.038709
1.0,4,1.05226
0.0,1,1.062393
0.0,2,1.071684
2.0,11,1.101728
0.0,4,1.117967
1.0,6,1.139113
0.0,2,1.153324
0.0,3,1.163968
1.0,5,1.181869
0.0,6,1.201846
0.0,2,1.213479
1.0,4,1.230165
2.0,6,1.251404
0.0,1,1.260347
0.0,2,1.26996
0.0,3,1.284671
0.0,1,1.293278
0.0,1,1.302343
0.0,2,1.316111
0.0,2,1.326546
0.0,2,1.339772
0.0,1,1.348573
0.0,1,1.356648
1.0,4,1.373987
2.0,11,1.403169
0.0,2,1.41291
0.0,2,1.42583
1.0,7,1.44868
0.0,1,1.456775
1.0,6,1.479083
1.0,4,1.493104
1.0,4,1.509612
0.0,3,1.524313
0.0,2,1.53509
0.0,2,1.546224
0.0,2,1.55633
0.0,5,1.575408
1.0,5,1.594112
1.0,6,1.616043
2.0,11,1.646124
0.0,5,1.663579
0.0,2,1.677389
0.0,3,1.689502
2.0,12,1.726979
1.0,4,1.743758
1.0,5,1.76159
0.0,1,1.769675
0.0,1,1.778766
0.0,3,1.79236
0.0,1,1.800765
0.0,1,1.810217
0.0,4,1.826711
0.0,6,1.846466
1.0,4,1.86192
1.0,4,1.878686
0.0,10,1.91014
0.0,2,1.919055
1.0,7,1.939815
1.0,6,1.962017
2.0,6,1.982759
0.0,1,1.990653
0.0,3,2.005353
0.0,2,2.015887
0.0,1,2.024967
0.0,1,2.032812
0.0,5,2.051554
0.0,2,2.063703
1.0,7,2.086032
1.0,6,2.105819
0.0,1,2.116781
0.0,3,2.129783
1.0,6,2.150007
0.0,3,2.164669
2.0,8,2.190888
1.0,6,2.212551
0.0,3,2.223257
0.0,4,2.238919
0.0,2,2.251966
0.0,2,2.262234
0.0,4,2.27959
1.0,5,2.297871
0.0,3,2.31111
0.0,1,2.321193
1.0,5,2.3386
1.0,7,2.359796
1.0,5,2.377659
1.0,5,2.396066
1.0,7,2.417941
1.0,5,2.435491
1.0,7,2.461375
0.0,2,2.470917
0.0,2,2.484118
0.0,2,2.493639
0.0,1,2.501671
1.0,11,2.532676
1.0,5,2.551687
1.0,7,2.57503
0.0,1,2.585317
0.0,3,2.59899
1.0,6,2.618097
0.0,3,2.630172
0.0,3,2.643744
0.0,3,2.657675
0.0,4,2.671145
0.0,2,2.683217
1.0,5,2.70292
0.0,2,2.712884
0.0,1,2.721838
0.0,3,2.735315
1.0,4,2.752479
2.0,8,2.777564
0.0,2,2.790192
0.0,1,2.798483
1.0,6,2.819758
1.0,8,2.847253
0.0,2,2.858014
0.0,1,2.866193
0.0,1,2.877672
1.0,4,2.891847
0.0,10,2.920264
0.0,2,2.933014
0.0,3,2.94377
1.0,9,2.973466
0.0,3,2.987935
1.0,11,3.018862
0.0,1,3.028248
1.0,5,3.046788
2.0,7,3.071256
1.0,5,3.089151
0.0,8,3.112
0.0,1,3.120073
2.0,7,3.14425
3.0,11,3.175775
0.0,1,3.18486
0.0,2,3.196086
0.0,1,3.204659
0.0,3,3.216785
0.0,1,3.22745
0.0,1,3.236094
0.0,4,3.252675
0.0,1,3.261691
1.0,10,3.291114
0.0,1,3.299791
1.0,5,3.319009
0.0,5,3.337081
0.0,1,3.346274
1.0,6,3.366372
0.0,3,3.382265
0.0,1,3.391435
1.0,15,3.432462
0.0,1,3.440506
1.0,5,3.45938
1.0,8,3.485344
0.0,2,3.49534
0.0,3,3.510485
0.0,2,3.522035
0.0,4,3.537278
0.0,1,3.545624
0.0,3,3.55972
0.0,3,3.575288
0.0,11,3.607033
0.0,2,3.6186
0.0,3,3.632763
0.0,3,3.644604
0.0,2,3.656584
1.0,11,3.689112
1.0,5,3.708812
0.0,6,3.730654
0.0,1,3.738958
0.0,4,3.756686
0.0,1,3.765213
1.0,6,3.787001
0.0,2,3.796505
1.0,10,3.827385
0.0,10,3.855411
1.0,5,3.874197
1.0,6,3.895431
0.0,3,3.911397
0.0,5,3.928263
0.0,3,3.941436
0.0,6,3.96262
0.0,1,3.971532
1.0,5,3.990676
0.0,1,3.999171
0.0,2,4.009053
2.0,11,4.045274
0.0,3,4.056494
1.0,6,4.07777
0.0,2,4.091599
0.0,3,4.105134
2.0,7,4.130576
0.0,2,4.14198
2.0,5,4.157382
0.0,3,4.171374
0.0,3,4.183916
0.0,1,4.194237
0.0,2,4.204655
1.0,6,4.226923
0.0,3,4.241426
0.0,1,4.250597
1.0,7,4.272225
0.0,4,4.287538
0.0,8,4.313084
2.0,9,4.342311
1.0,4,4.357434
0.0,3,4.372372
0.0,1,4.381272
0.0,3,4.396954
0.0,1,4.405031
0.0,3,4.417522
0.0,3,4.430055
2.0,8,4.456642
0.0,3,4.469543
0.0,2,4.482896
1.0,4,4.499906
0.0,1,4.508719
0.0,1,4.517978
1.0,8,4.544924
0.0,1,4.552519
0.0,1,4.560796
1.0,5,4.580587
1.0,4,4.598178
0.0,1,4.60703
0.0,3,4.623482
1.0,10,4.651381
0.0,1,4.660159
0.0,3,4.672507
0.0,5,4.691219
1.0,5,4.70915
0.0,3,4.723385
1.0,8,4.748998
1.0,5,4.767495
1.0,7,4.791058
1.0,8,4.817134
0.0,2,4.826912
1.0,8,4.853132
0.0,5,4.87095
0.0,1,4.879686
0.0,1,4.888436
1.0,4,4.904676
0.0,1,4.912541
0.0,1,4.921134
0.0,1,4.928761
0.0,5,4.94808
0.0,3,4.963289
0.0,1,4.972077
1.0,7,4.996132
0.0,2,5.005654
0.0,1,5.01374
2.0,7,5.039661
0.0,3,5.051612
0.0,1,5.060404
0.0,3,5.073662
0.0,2,5.083845
0.0,1,5.09418
0.0,1,5.102864
1.0,7,5.12355
1.0,5,5.142992
3.0,12,5.178956
1.0,4,5.193986
0.0,3,5.208921
0.0,2,5.219347
0.0,2,5.230824
1.0,4,5.24755
0.0,3,5.26086
0.0,1,5.27007
0.0,4,5.28573
0.0,1,5.293879
0.0,3,5.307675
0.0,3,5.322035
0.0,2,5.332175
0.0,2,5.342542
1.0,7,5.367251
0.0,3,5.379487
1.0,7,5.403153
0.0,3,5.414659
1.0,7,5.439204
1.0,4,5.456227
0.0,2,5.466079
0.0,1,5.474378
0.0,1,5.482708
0.0,3,5.497069
1.0,5,5.516471
0.0,3,5.53105
0.0,1,5.539551
0.0,5,5.555691
0.0,5,5.573848
2.0,8,5.599055
0.0,2,5.612805
0.0,1,5.621847
0.0,2,5.631735
0.0,3,5.644331
0.0,1,5.652641
0.0,9,5.679921
1.0,9,5.707138
1.0,5,5.726814
0.0,3,5.739565
0.0,2,5.751937
0.0,2,5.760915
0.0,1,5.769702
0.0,5,5.78735
0.0,1,5.798554
0.0,2,5.807778
1.0,5,5.825135
0.0,1,5.834467
2.0,11,5.86758
0.0,3,5.881027
0.0,6,5.901247
0.0,1,5.909568
1.0,4,5.927066
0.0,1,5.93504
0.0,3,5.950425
1.0,7,5.971333
0.0,3,5.985968
0.0,2,5.996581
1.0,8,6.0236
0.0,2,6.033433
1.0,4,6.050693
0.0,1,6.058953
2.0,11,6.093108
0.0,3,6.105734
2.0,8,6.131714
0.0,2,6.141047
0.0,3,6.15643
0.0,3,6.166649
0.0,2,6.177559
0.0,3,6.190581
1.0,5,6.209295
1.0,4,6.224282
0.0,2,6.236372
0.0,1,6.244218
0.0,2,6.254993
0.0,10,6.285125
1.0,5,6.305202
0.0,4,6.321986
2.0,10,6.352869
1.0,3,6.367968
1.0,7,6.388883
0.0,3,6.403143
2.0,12,6.436506
0.0,3,6.451865
2.0,10,6.481183
1.0,7,6.502743
0.0,1,6.511089
0.0,1,6.51977
0.0,1,6.530214
0.0,1,6.539488
1.0,9,6.567044
1.0,6,6.58656
0.0,1,6.594956
1.0,4,6.612844
0.0,2,6.623358
0.0,2,6.635098
0.0,1,6.644021
0.0,2,6.65376
0.0,1,6.661956
0.0,2,6.675204
1.0,5,6.694974
2.0,8,6.71923
0.0,7,6.742958
1.0,6,6.762784
0.0,2,6.772269
0.0,5,6.790399
0.0,1,6.801123
0.0,4,6.812669
2.0,9,6.83978
0.0,3,6.852635
0.0,1,6.861115
0.0,1,6.869443
1.0,8,6.896483
1.0,4,6.913663
0.0,5,6.932839
0.0,3,6.94427
0.0,6,6.963657
0.0,3,6.977473
0.0,3,6.991957
0.0,3,7.003393
1.0,7,7.027544
2.0,6,7.047091
1.0,7,7.068615
1.0,9,7.096231
0.0,1,7.105231
0.0,1,7.113364
1.0,8,7.140143
2.0,8,7.166896
0.0,2,7.176054
0.0,6,7.195829
0.0,3,7.211472
2.0,7,7.231469
0.0,3,7.246059
1.0,6,7.265521
1.0,5,7.285042
0.0,1,7.294112
0.0,3,7.308242
1.0,8,7.330981
1.0,6,7.353562
0.0,5,7.37028
1.0,5,7.38777
1.0,7,7.409302
1.0,10,7.438229
1.0,6,7.457327
0.0,3,7.471199
0.0,2,7.480667
1.0,6,7.500786
0.0,1,7.512076
1.0,4,7.526714
1.0,7,7.550747
1.0,8,7.574187
0.0,2,7.586084
1.0,6,7.607437
1.0,7,7.627589
0.0,1,7.637503
0.0,3,7.649513
0.0,3,7.664718
2.0,15,7.703637
0.0,3,7.714978
0.0,1,7.726225
0.0,2,7.735868
0.0,3,7.751574
0.0,3,7.762363
0.0,1,7.770258
0.0,2,7.782979
1.0,4,7.800203
2.0,8,7.826408
0.0,1,7.834668
1.0,7,7.85877
0.0,1,7.867379
0.0,2,7.877043
1.0,4,7.892532
1.0,4,7.907672
1.0,5,7.925238
1.0,7,7.946165
1.0,9,7.972845
1.0,9,8.002142
0.0,2,8.011098
0.0,1,8.022313
0.0,1,8.030604
0.0,7,8.050837
0.0,3,8.06426
0.0,3,8.075594
0.0,2,8.086962
1.0,8,8.108766
1.0,8,8.135929
0.0,1,8.145326
0.0,4,8.160275
0.0,1,8.169172
0.0,3,8.183996
0.0,6,8.204622
1.0,5,8.223396
0.0,1,8.232806
2.0,9,8.26065
0.0,6,8.281819
0.0,2,8.293492
1.0,5,8.312117
1.0,8,8.333981
0.0,3,8.348146
1.0,5,8.367352
2.0,6,8.388439
0.0,3,8.402507
2.0,9,8.429592
2.0,8,8.457219
0.0,6,8.475426
0.0,2,8.487715
2.0,9,8.515527
0.0,1,8.525879
0.0,2,8.535372
0.0,2,8.545062
1.0,11,8.577599
0.0,1,8.586897
1.0,6,8.607662
1.0,4,8.624343
0.0,2,8.633882
0.0,6,8.652692
0.0,1,8.663048
0.0,2,8.673116
0.0,2,8.68383
1.0,3,8.698698
0.0,3,8.711995
1.0,5,8.72975
0.0,7,8.751512
1.0,4,8.768348
0.0,1,8.776329
0.0,2,8.785198
1.0,3,8.80066
1.0,8,8.826139
1.0,6,8.846109
2.0,10,8.875665
0.0,1,8.884179
0.0,4,8.899808
0.0,1,8.907709
0.0,1,8.916832
0.0,3,8.929763
0.0,3,8.941525
1.0,5,8.95972
0.0,1,8.97129
0.0,3,8.984659
0.0,5,9.00341
1.0,9,9.030361
1.0,6,9.048822
1.0,5,9.067136
0.0,2,9.079467
1.0,3,9.092426
1.0,5,9.112074
0.0,4,9.127128
1.0,8,9.154206
0.0,1,9.162933
2.0,9,9.189902
0.0,2,9.199909
0.0,1,9.207921
0.0,3,9.223062
1.0,6,9.243028
0.0,4,9.259791
0.0,2,9.269439
0.0,1,9.278339
1.0,3,9.293146
0.0,2,9.302954
0.0,1,9.313976
1.0,6,9.333295
0.0,3,9.346211
0.0,1,9.358092
1.0,4,9.371926
0.0,2,9.384865
0.0,4,9.401137
1.0,5,9.418985
0.0,1,9.426839
1.0,7,9.449161
1.0,5,9.46865
0.0,3,9.482173
0.0,3,9.494293
0.0,3,9.50905
1.0,3,9.524183
2.0,11,9.554607
0.0,3,9.565153
0.0,2,9.576965
0.0,1,9.585253
1.0,8,9.614116
2.0,8,9.638618
0.0,1,9.647363
2.0,6,9.668819
0.0,3,9.682018
1.0,6,9.701982
0.0,2,9.713037
1.0,6,9.731301
0.0,2,9.740753
0.0,3,9.75531
0.0,2,9.76495
0.0,1,9.776076
1.0,4,9.789706
0.0,3,9.804586
1.0,7,9.827348
0.0,2,9.838922
1.0,8,9.860693
0.0,3,9.872512
0.0,3,9.886935
1.0,5,9.90618
2.0,7,9.927494
2.0,7,9.950137
0.0,2,9.962178
2.0,8,9.987859
0.0,3,10.000999
0.0,5,10.01708
1.0,7,10.040142
1.0,4,10.056752
0.0,1,10.065114
1.0,5,10.08249
1.0,6,10.105405
0.0,2,10.114987
1.0,5,10.134453
0.0,1,10.143249
1.0,10,10.169236
1.0,4,10.186437
0.0,3,10.201985
1.0,5,10.221437
1.0,5,10.239761
1.0,5,10.258284
0.0,2,10.268267
0.0,3,10.283673
0.0,2,10.293595
1.0,3,10.307167
1.0,4,10.321825
0.0,3,10.336921
0.0,3,10.351373
1.0,4,10.363456
1.0,7,10.387883
0.0,1,10.396247
0.0,1,10.405483
1.0,5,10.425014
0.0,5,10.444589
0.0,3,10.458058
0.0,2,10.467405
1.0,4,10.484321
1.0,5,10.503182
0.0,3,10.518262
