#{"t_start": 1653465590.4580643, "env_id": null}
r,l,t
1.0,3,0.041633
1.0,15,0.11217
0.0,3,0.137796
0.0,1,0.14945
0.0,1,0.169401
0.0,1,0.177907
0.0,3,0.188772
1.0,5,0.203297
0.0,2,0.218984
0.0,2,0.228228
0.0,4,0.24444
0.0,5,0.260797
0.0,1,0.269763
0.0,3,0.280842
1.0,4,0.295006
0.0,1,0.305482
0.0,1,0.314146
0.0,1,0.322757
0.0,1,0.331982
0.0,4,0.346409
0.0,1,0.354428
1.0,4,0.368372
1.0,4,0.382875
0.0,5,0.400112
2.0,8,0.423303
0.0,2,0.434136
0.0,1,0.441092
0.0,2,0.44998
0.0,2,0.459323
0.0,1,0.467474
2.0,10,0.491964
1.0,4,0.508571
0.0,2,0.526746
1.0,4,0.54057
0.0,1,0.548145
0.0,3,0.55946
0.0,6,0.578011
0.0,1,0.58675
0.0,1,0.594794
0.0,1,0.602646
2.0,7,0.622857
0.0,5,0.64105
0.0,2,0.64935
0.0,2,0.661117
0.0,1,0.669356
2.0,5,0.684453
0.0,3,0.69669
0.0,1,0.705036
0.0,3,0.717822
0.0,1,0.72469
0.0,2,0.732672
0.0,2,0.741221
0.0,1,0.748352
0.0,1,0.756554
0.0,2,0.765785
0.0,1,0.773905
0.0,1,0.781568
0.0,3,0.792149
0.0,3,0.807313
0.0,2,0.817624
0.0,4,0.833308
0.0,2,0.847202
0.0,4,0.861724
0.0,2,0.872969
1.0,8,0.897431
0.0,3,0.910089
2.0,7,0.930788
0.0,2,0.939523
0.0,2,0.949448
0.0,1,0.958266
0.0,1,0.965539
1.0,3,0.978019
0.0,5,0.994145
0.0,1,1.001518
0.0,1,1.009554
0.0,2,1.018663
1.0,4,1.03348
0.0,1,1.041525
0.0,2,1.050506
0.0,1,1.059154
0.0,2,1.068018
0.0,1,1.076288
0.0,1,1.083701
0.0,4,1.097797
0.0,4,1.112946
0.0,1,1.120569
0.0,3,1.132595
0.0,2,1.142462
0.0,2,1.151578
0.0,1,1.15897
0.0,1,1.167371
1.0,7,1.18679
0.0,2,1.195949
0.0,2,1.204509
0.0,1,1.212386
0.0,1,1.219815
0.0,1,1.227874
0.0,3,1.240017
0.0,1,1.247896
0.0,2,1.257888
0.0,1,1.265741
0.0,4,1.280172
1.0,4,1.293439
1.0,5,1.312663
0.0,2,1.321758
0.0,2,1.331317
0.0,2,1.34051
0.0,2,1.350564
1.0,7,1.371345
0.0,1,1.379918
0.0,5,1.392698
0.0,1,1.400712
1.0,3,1.413314
0.0,4,1.42729
0.0,3,1.439782
0.0,2,1.449255
0.0,1,1.457105
1.0,5,1.47319
0.0,1,1.48122
1.0,5,1.497189
0.0,1,1.504765
0.0,2,1.515905
0.0,1,1.523044
0.0,3,1.536356
0.0,2,1.544819
0.0,1,1.553249
0.0,1,1.561243
0.0,2,1.571911
1.0,8,1.595255
0.0,1,1.60248
0.0,1,1.610235
0.0,1,1.617815
0.0,2,1.627379
0.0,3,1.640071
1.0,5,1.654732
1.0,5,1.670732
1.0,4,1.684669
0.0,3,1.697018
0.0,1,1.706041
1.0,6,1.724391
0.0,1,1.732618
0.0,1,1.739724
0.0,4,1.752196
0.0,1,1.759662
0.0,2,1.769948
0.0,1,1.778518
0.0,3,1.788946
0.0,1,1.797599
0.0,2,1.80893
0.0,3,1.820497
0.0,2,1.830586
0.0,6,1.848063
0.0,1,1.857347
0.0,1,1.865529
0.0,2,1.875322
0.0,2,1.884856
1.0,8,1.907231
0.0,2,1.91768
1.0,6,1.935669
1.0,5,1.951912
0.0,1,1.960137
1.0,4,1.974666
0.0,2,1.983793
0.0,1,1.99235
0.0,2,2.002331
1.0,4,2.016582
0.0,1,2.024865
0.0,3,2.036155
0.0,2,2.04564
1.0,6,2.063094
0.0,3,2.075367
0.0,2,2.083869
0.0,1,2.093592
2.0,6,2.113302
0.0,3,2.12867
0.0,1,2.15291
0.0,1,2.163353
0.0,1,2.171868
0.0,4,2.187011
1.0,4,2.200842
0.0,3,2.212129
0.0,2,2.221668
0.0,2,2.23111
0.0,2,2.239746
1.0,6,2.257437
0.0,1,2.264891
0.0,1,2.272661
0.0,3,2.284688
0.0,2,2.293841
0.0,2,2.302943
0.0,5,2.321298
0.0,2,2.331433
0.0,2,2.339958
0.0,6,2.357015
0.0,2,2.365693
0.0,3,2.37648
1.0,5,2.393321
1.0,6,2.409751
0.0,3,2.421565
0.0,1,2.429673
1.0,6,2.448415
0.0,6,2.46648
1.0,7,2.484028
0.0,3,2.497485
1.0,12,2.524834
0.0,1,2.53362
0.0,3,2.544707
0.0,3,2.556862
1.0,10,2.58357
0.0,3,2.594557
0.0,1,2.602271
0.0,2,2.610605
0.0,1,2.618418
0.0,3,2.629533
0.0,2,2.639655
0.0,1,2.648272
0.0,1,2.656513
0.0,5,2.672103
0.0,2,2.682751
0.0,1,2.690853
0.0,1,2.698915
0.0,3,2.711433
0.0,2,2.720041
1.0,5,2.736281
4.0,15,2.768407
0.0,2,2.777085
0.0,7,2.796085
0.0,7,2.819415
0.0,2,2.82844
0.0,1,2.836954
0.0,3,2.847332
0.0,1,2.855173
0.0,3,2.866726
0.0,1,2.874142
0.0,4,2.887637
1.0,5,2.904048
0.0,2,2.91299
0.0,8,2.933488
1.0,5,2.949207
0.0,2,2.959377
0.0,2,2.969903
0.0,2,2.980141
0.0,1,2.988697
0.0,2,2.998398
0.0,3,3.010866
0.0,2,3.020945
0.0,2,3.031358
0.0,1,3.038925
0.0,1,3.046662
0.0,6,3.062298
0.0,3,3.07461
0.0,2,3.08246
0.0,2,3.090847
2.0,8,3.11372
0.0,1,3.120734
1.0,8,3.141514
0.0,1,3.149228
0.0,2,3.157736
0.0,2,3.166909
0.0,2,3.175874
0.0,2,3.185207
0.0,3,3.197595
0.0,2,3.206849
0.0,4,3.220958
0.0,9,3.244692
0.0,3,3.254117
0.0,1,3.262261
0.0,1,3.270206
0.0,1,3.278354
0.0,1,3.287005
0.0,4,3.301234
0.0,2,3.314708
1.0,6,3.332882
0.0,2,3.341925
0.0,3,3.354701
0.0,5,3.368671
0.0,2,3.378353
0.0,3,3.390744
0.0,1,3.399155
1.0,4,3.411948
0.0,1,3.420188
0.0,2,3.429694
0.0,5,3.443804
0.0,2,3.454797
0.0,5,3.470409
0.0,2,3.480657
0.0,2,3.491641
1.0,5,3.508015
1.0,9,3.529452
0.0,1,3.536729
0.0,1,3.543947
0.0,1,3.550969
0.0,1,3.559268
0.0,7,3.578685
0.0,2,3.588198
1.0,4,3.619976
0.0,2,3.630297
1.0,4,3.644018
0.0,5,3.659801
0.0,1,3.667979
0.0,3,3.680967
0.0,2,3.692021
0.0,1,3.700543
0.0,1,3.707652
0.0,3,3.719693
0.0,2,3.73044
0.0,1,3.73896
1.0,6,3.75718
0.0,2,3.767668
0.0,2,3.777861
1.0,3,3.789168
0.0,2,3.799426
0.0,2,3.813101
0.0,2,3.821946
0.0,1,3.829032
0.0,2,3.841766
0.0,3,3.856349
0.0,3,3.868822
0.0,2,3.879491
0.0,1,3.886975
0.0,7,3.905474
0.0,1,3.913865
1.0,5,3.929265
1.0,4,3.943918
0.0,3,3.95559
0.0,1,3.96336
0.0,1,3.97145
1.0,11,3.996767
2.0,14,4.029887
0.0,1,4.037894
0.0,3,4.049451
1.0,4,4.063419
0.0,5,4.078035
0.0,3,4.090469
0.0,2,4.100661
0.0,2,4.109499
0.0,1,4.116836
0.0,1,4.124482
0.0,1,4.1324
1.0,3,4.14381
0.0,2,4.153275
0.0,2,4.161621
0.0,1,4.169031
0.0,1,4.177107
0.0,1,4.185151
0.0,1,4.191915
0.0,1,4.199307
0.0,3,4.209508
0.0,3,4.219455
1.0,4,4.233988
0.0,1,4.240821
0.0,1,4.248659
0.0,1,4.25696
1.0,7,4.277878
0.0,1,4.285715
0.0,2,4.294425
0.0,3,4.30557
0.0,2,4.316929
0.0,3,4.329085
0.0,2,4.34029
0.0,2,4.349717
0.0,1,4.357313
0.0,1,4.364548
0.0,4,4.377362
1.0,4,4.391487
1.0,4,4.405187
0.0,3,4.417856
0.0,1,4.426498
0.0,1,4.434188
0.0,2,4.443653
0.0,1,4.451307
0.0,2,4.461257
0.0,1,4.46979
1.0,5,4.485184
0.0,4,4.497815
0.0,4,4.512621
1.0,4,4.525855
0.0,2,4.534586
2.0,10,4.557996
0.0,1,4.566645
1.0,7,4.586359
0.0,3,4.597299
0.0,1,4.604708
0.0,2,4.613279
0.0,1,4.620956
0.0,2,4.631714
0.0,2,4.639957
0.0,1,4.647896
0.0,1,4.655249
0.0,2,4.663926
1.0,5,4.678379
2.0,6,4.694694
0.0,1,4.70301
0.0,3,4.715037
1.0,7,4.735646
0.0,1,4.743873
0.0,4,4.758032
0.0,3,4.770757
1.0,8,4.792518
0.0,2,4.802679
0.0,1,4.813669
0.0,1,4.821515
0.0,4,4.834821
0.0,1,4.84328
1.0,5,4.85858
0.0,2,4.867859
0.0,1,4.875447
0.0,1,4.883206
1.0,5,4.900076
0.0,2,4.908844
0.0,1,4.915837
0.0,4,4.929466
0.0,1,4.937064
0.0,2,4.946975
0.0,1,4.95498
0.0,3,4.965893
0.0,1,4.97388
0.0,3,4.98469
0.0,3,4.996878
0.0,1,5.004069
0.0,3,5.016536
1.0,5,5.03156
0.0,3,5.041835
2.0,6,5.058422
0.0,2,5.066783
0.0,3,5.076644
1.0,3,5.089636
0.0,4,5.102654
0.0,1,5.110257
0.0,2,5.119267
0.0,1,5.126663
0.0,1,5.135063
0.0,1,5.142985
0.0,6,5.159686
1.0,5,5.176318
1.0,5,5.192501
0.0,2,5.202998
0.0,1,5.211926
0.0,1,5.219083
1.0,6,5.236737
0.0,2,5.24514
0.0,3,5.256228
1.0,5,5.272575
0.0,1,5.280014
1.0,3,5.292297
0.0,1,5.300321
0.0,2,5.312494
0.0,3,5.324162
1.0,4,5.344647
0.0,2,5.356451
1.0,4,5.371908
0.0,2,5.380257
1.0,5,5.395346
0.0,1,5.403008
0.0,4,5.416546
2.0,12,5.447093
0.0,1,5.454479
1.0,6,5.472417
0.0,2,5.480829
0.0,2,5.490765
0.0,3,5.503183
0.0,1,5.510948
2.0,9,5.534701
1.0,5,5.550248
2.0,10,5.576158
0.0,3,5.587549
0.0,4,5.602832
0.0,1,5.61104
0.0,3,5.622921
0.0,1,5.630328
0.0,3,5.64293
0.0,2,5.651989
1.0,7,5.669791
1.0,8,5.690556
1.0,7,5.710922
0.0,3,5.722956
0.0,2,5.733792
1.0,6,5.750253
0.0,4,5.76297
0.0,2,5.772515
1.0,6,5.790233
0.0,1,5.797844
0.0,2,5.807905
0.0,3,5.821408
0.0,1,5.829025
0.0,2,5.839371
0.0,3,5.850621
0.0,1,5.859198
0.0,1,5.868621
1.0,8,5.889995
0.0,2,5.89914
1.0,4,5.912148
1.0,6,5.930808
0.0,1,5.937911
0.0,2,5.946515
1.0,11,5.972861
0.0,1,5.980821
0.0,2,5.990103
1.0,4,6.005584
0.0,2,6.014032
0.0,2,6.02428
0.0,2,6.033881
0.0,2,6.044185
0.0,2,6.054304
1.0,5,6.070243
0.0,1,6.077557
0.0,1,6.085682
1.0,3,6.098092
0.0,1,6.107131
0.0,1,6.114478
0.0,6,6.131808
0.0,2,6.142146
1.0,4,6.155336
1.0,4,6.1695
0.0,2,6.177972
0.0,1,6.185715
0.0,2,6.194968
0.0,1,6.202816
0.0,1,6.210109
0.0,1,6.21684
1.0,4,6.230061
0.0,1,6.23763
0.0,3,6.249642
0.0,1,6.257581
0.0,2,6.267407
0.0,3,6.278372
0.0,3,6.288494
0.0,2,6.297546
0.0,1,6.304482
0.0,1,6.315361
0.0,1,6.323651
0.0,2,6.334087
0.0,4,6.347376
0.0,2,6.356196
0.0,3,6.367293
1.0,8,6.388748
0.0,1,6.395979
0.0,2,6.405174
2.0,13,6.43588
0.0,2,6.445561
0.0,3,6.456508
0.0,1,6.464084
0.0,2,6.474783
0.0,1,6.482552
0.0,1,6.490631
0.0,1,6.499818
0.0,1,6.507869
0.0,2,6.518606
0.0,2,6.527514
0.0,1,6.535876
0.0,1,6.542865
0.0,1,6.549969
0.0,1,6.558219
1.0,6,6.576228
0.0,2,6.58614
0.0,1,6.593052
0.0,4,6.60692
0.0,2,6.616947
0.0,1,6.624213
0.0,1,6.633205
0.0,1,6.642023
0.0,3,6.653351
0.0,1,6.661021
0.0,1,6.66922
0.0,3,6.680983
0.0,1,6.688658
0.0,1,6.69639
0.0,1,6.704664
2.0,7,6.724348
0.0,3,6.735861
0.0,5,6.749338
0.0,3,6.759513
1.0,4,6.773579
1.0,5,6.789304
0.0,1,6.79647
0.0,2,6.805203
0.0,2,6.817574
0.0,2,6.82689
0.0,1,6.834991
0.0,2,6.844396
1.0,3,6.855252
0.0,2,6.863799
1.0,10,6.889103
0.0,2,6.899467
0.0,3,6.9096
0.0,1,6.917646
0.0,1,6.926681
1.0,5,6.941364
0.0,2,6.95141
0.0,3,6.962479
0.0,1,6.970845
1.0,4,6.984056
0.0,1,6.992446
0.0,2,7.001249
0.0,2,7.012171
0.0,2,7.021063
0.0,1,7.035244
0.0,6,7.051021
0.0,5,7.066318
1.0,4,7.080234
0.0,3,7.091469
2.0,8,7.113175
0.0,2,7.122402
0.0,1,7.129739
