#{"t_start": 1651589491.544666, "env_id": null}
r,l,t
0.0,2,0.024218
0.0,3,0.037075
0.0,3,0.047699
0.0,2,0.058179
1.0,4,0.075581
0.0,1,0.083827
0.0,4,0.09704
0.0,1,0.105913
0.0,1,0.115329
0.0,2,0.126812
0.0,2,0.137065
0.0,2,0.148486
0.0,4,0.161416
0.0,1,0.170099
0.0,4,0.186497
0.0,1,0.19456
0.0,1,0.208033
0.0,1,0.216047
0.0,1,0.224606
0.0,4,0.238461
0.0,1,0.247324
0.0,1,0.25695
0.0,1,0.2648
0.0,2,0.276854
0.0,1,0.285146
0.0,1,0.293495
0.0,3,0.305826
0.0,2,0.317332
0.0,4,0.33071
0.0,2,0.341624
0.0,1,0.349926
0.0,1,0.359452
0.0,2,0.369594
0.0,2,0.380063
1.0,5,0.39708
0.0,2,0.408173
0.0,3,0.419536
0.0,3,0.432813
0.0,2,0.443404
0.0,2,0.4545
0.0,5,0.470247
0.0,1,0.479466
0.0,1,0.488091
2.0,7,0.507853
1.0,8,0.528386
1.0,4,0.541644
0.0,3,0.55382
1.0,6,0.572701
0.0,1,0.58086
0.0,1,0.58926
0.0,1,0.59733
0.0,1,0.605278
0.0,4,0.618572
0.0,3,0.629535
0.0,1,0.637806
0.0,4,0.650246
0.0,1,0.658226
0.0,1,0.666619
0.0,1,0.675019
0.0,2,0.686453
0.0,2,0.699848
0.0,2,0.710254
0.0,4,0.725887
0.0,1,0.734748
0.0,3,0.745505
1.0,6,0.764351
0.0,1,0.772177
0.0,3,0.785008
0.0,1,0.793902
0.0,1,0.80177
0.0,2,0.812527
0.0,2,0.823626
0.0,1,0.83182
0.0,1,0.840353
0.0,1,0.847386
0.0,2,0.858942
0.0,2,0.868715
0.0,4,0.881888
0.0,4,0.896356
0.0,4,0.91031
1.0,5,0.925819
0.0,3,0.937931
0.0,3,0.947486
0.0,3,0.959938
0.0,2,0.96835
0.0,1,0.976794
0.0,1,0.984746
0.0,3,0.997545
0.0,2,1.008226
0.0,4,1.02352
0.0,1,1.032027
0.0,4,1.046973
1.0,4,1.060933
0.0,1,1.069255
1.0,3,1.081558
0.0,2,1.093117
0.0,1,1.101794
0.0,1,1.11095
0.0,2,1.121123
0.0,2,1.131194
0.0,2,1.141177
0.0,4,1.155974
0.0,2,1.165809
0.0,2,1.176673
