episode,accept_rate,balanced_accept_rate,mean_service_len,mean_hops,mean_datarate,mean_latency,mean_resd_latency,serivce_0_accepts,serivce_0_requests,serivce_0_num_invalid,serivce_0_num_rejects,serivce_0_no_egress_route,serivce_0_no_extension,serivce_0_skipped_on_arrival,serivce_0_mean_service_len,serivce_0_mean_hops,serivce_0_mean_datarate,serivce_0_mean_latency,serivce_0_mean_resd_latency,serivce_1_accepts,serivce_1_requests,serivce_1_num_invalid,serivce_1_num_rejects,serivce_1_no_egress_route,serivce_1_no_extension,serivce_1_skipped_on_arrival,serivce_1_mean_service_len,serivce_1_mean_hops,serivce_1_mean_datarate,serivce_1_mean_latency,serivce_1_mean_resd_latency,serivce_2_accepts,serivce_2_requests,serivce_2_num_invalid,serivce_2_num_rejects,serivce_2_no_egress_route,serivce_2_no_extension,serivce_2_skipped_on_arrival,serivce_2_mean_service_len,serivce_2_mean_hops,serivce_2_mean_datarate,serivce_2_mean_latency,serivce_2_mean_resd_latency,serivce_3_accepts,serivce_3_requests,serivce_3_num_invalid,serivce_3_num_rejects,serivce_3_no_egress_route,serivce_3_no_extension,serivce_3_skipped_on_arrival,serivce_3_mean_service_len,serivce_3_mean_hops,serivce_3_mean_datarate,serivce_3_mean_latency,serivce_3_mean_resd_latency,mean_cutil,mean_mutil,mean_dutil,ep_return,ep_length,ep_time,time,agent
0,0.35080645161290325,0.013542938542938542,2.7471264367816093,3.793103448275862,253.75614189445076,1.670962461337851,1.069210862853047,22.0,64.0,0.0,0.0,1.0,0.0,0.0,88.0,101.0,5075.2398932623,57.718909259522036,41.22022806828921,21.0,65.0,0.0,0.0,2.0,1.0,0.0,63.0,80.0,4389.560140375059,32.52219903434925,21.236835552622082,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,78.0,8255.779663456282,42.18139681479042,28.556830002169622,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,71.0,4356.2046477235735,12.95122902773133,2.007451445134181,0.23705316673135637,0.20394230769230776,0.06879645509261963,0.6544308025610661,91,2.159229278564453,2.1648085659835488,FCFSPOLICY
1,0.3629032258064516,0.015503171890500992,2.7444444444444445,3.6222222222222222,251.71608237011517,1.522598749965748,1.0193411340592096,22.0,64.0,0.0,0.0,1.0,0.0,0.0,88.0,91.0,4856.743588057555,58.670673012499236,43.69764042497466,23.0,64.0,0.0,0.0,0.0,0.0,0.0,69.0,89.0,4617.5719050621765,36.264821809820944,22.662263886296333,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,79.0,8974.05754254161,32.630770351047516,23.37276779568645,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,67.0,4206.074377649025,9.467622323549634,2.0080299583714205,0.20891780100475543,0.1778647741147741,0.055157525509241176,0.7197295281973425,91,1.982691764831543,1.989672218915075,FCFSPOLICY
2,0.36693548387096775,0.0162078615218874,2.758241758241758,3.769230769230769,261.03706834876397,1.3065367297960375,0.8607946622641506,23.0,64.0,0.0,0.0,0.0,0.0,0.0,92.0,89.0,4878.853113924768,41.03759203185367,31.25925398030612,23.0,64.0,0.0,0.0,0.0,0.0,0.0,69.0,96.0,5182.10239687921,29.74081780444075,19.236849253959026,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,78.0,9454.099166221478,34.83749833480735,26.823440841442373,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,80.0,4239.318542712064,13.278934240337648,1.0127701903301796,0.18394700274910125,0.1699648962148962,0.048198483898532436,0.7501494616027553,91,2.0199315547943115,2.0260804309509695,FCFSPOLICY
3,0.3629032258064516,0.015503171890500992,2.7555555555555555,3.2444444444444445,258.507197028649,1.4472880852752394,1.0058914668605936,23.0,64.0,0.0,0.0,0.0,0.0,0.0,92.0,76.0,5121.662381065188,55.19822197975516,43.06801045227406,22.0,64.0,0.0,0.0,0.0,1.0,0.0,66.0,75.0,4656.231711899705,33.068587091259666,24.23801026873206,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,75.0,9152.21324012411,31.829391763522555,21.216311150353263,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,66.0,4335.540399489403,10.159726840234175,2.0079001460940464,0.18141429855217112,0.15029304029304033,0.04313533815385454,0.7170104678825437,91,1.9873437881469727,1.9931376320309937,FCFSPOLICY
4,0.3467741935483871,0.012868245442708332,2.7209302325581395,3.7325581395348837,258.9725846651489,1.371205161651718,0.900942769669672,21.0,64.0,0.0,0.0,2.0,0.0,0.0,84.0,88.0,4378.156046458934,48.69884235336575,37.52082432096316,20.0,64.0,0.0,0.0,3.0,0.0,0.0,60.0,92.0,4608.840463806271,35.083294315813916,20.764939499023868,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,67.0,9358.472027636188,22.88987326269279,17.18615203138113,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,74.0,3926.1737433014086,11.251633970175298,2.009162340223633,0.25183699514962055,0.18137973137973132,0.0709020202257719,0.6135932622290854,91,1.9674930572509766,1.9731533939484507,FCFSPOLICY
5,0.3629032258064516,0.015503171890500992,2.7555555555555555,3.566666666666667,260.0851008418465,1.2622490440461243,0.8397426726947613,23.0,64.0,0.0,0.0,0.0,0.0,0.0,92.0,88.0,5240.6954630881155,50.247820154296846,39.212593302899066,22.0,64.0,0.0,0.0,1.0,0.0,0.0,66.0,97.0,5000.206974087831,27.74805787286978,15.921318131715546,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,69.0,8893.219202617956,24.843950459792918,18.433752710710408,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,67.0,4273.537435972278,10.76258547719163,2.0091763972034973,0.17433478273340638,0.17063644688644689,0.06139633240666754,0.7244081194684259,91,2.0026302337646484,2.0088000050745904,FCFSPOLICY
6,0.3629032258064516,0.015503171890500992,2.7555555555555555,3.8555555555555556,265.48452112724704,1.7341103679549823,1.1534397508309862,23.0,64.0,0.0,0.0,0.0,0.0,0.0,92.0,99.0,5334.748114701542,63.54551857227855,48.844945617355734,22.0,64.0,0.0,0.0,0.0,1.0,0.0,66.0,84.0,4792.28375252253,39.85567726590861,27.287449751964783,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,90.0,9259.567923619683,41.48720135995664,27.66693180308438,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,74.0,4507.007110608475,11.181535917804581,0.010250402383866618,0.14105296785656046,0.12621947496947494,0.047594833860753534,0.717052602149236,91,2.0190913677215576,2.0255740471184254,FCFSPOLICY
7,0.3548387096774194,0.014125823974609375,2.7613636363636362,3.852272727272727,261.0386880075849,1.4407139524596244,0.962669288381483,23.0,64.0,0.0,0.0,0.0,0.0,0.0,92.0,100.0,5069.199077745982,51.1067697135518,37.705545885696225,21.0,64.0,0.0,0.0,1.0,1.0,0.0,63.0,98.0,4528.962825121354,27.76157646694294,13.773821093397016,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,92.0,9269.834480249932,41.96935871329765,30.23232611035568,21.0,63.0,0.0,0.0,1.0,0.0,0.0,42.0,49.0,4103.408161550198,5.945122922654556,3.0032042881216015,0.20938333810216,0.16312576312576313,0.0834539080739808,0.6724491682856873,91,1.9902126789093018,1.9959767430555075,FCFSPOLICY
8,0.3629032258064516,0.015503171890500992,2.7555555555555555,3.466666666666667,258.03589129262554,1.288898278081734,0.8764549777691144,23.0,64.0,0.0,0.0,0.0,0.0,0.0,92.0,79.0,4900.854614526347,35.84981535859654,27.118095298802427,22.0,64.0,0.0,0.0,1.0,0.0,0.0,66.0,94.0,4932.5065377187875,37.64547624639555,24.333834793763103,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,72.0,8973.877035897929,32.58763594788752,26.422178784384077,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,67.0,4415.992028193237,9.917917474476456,1.0068391222706845,0.20581236280996154,0.22272588522588518,0.07376200724846423,0.7336772159690846,91,1.8586432933807373,1.863508477108553,FCFSPOLICY
9,0.3588709677419355,0.014798482259114582,2.752808988764045,3.561797752808989,254.68747174684486,1.5621110288211666,1.1334241594899122,23.0,64.0,0.0,0.0,0.0,0.0,0.0,92.0,97.0,4888.6739035351575,71.21955539749054,57.92622450998469,21.0,64.0,0.0,0.0,2.0,0.0,0.0,63.0,80.0,4349.969743942733,29.26498537758005,19.917744735753896,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,68.0,9228.322494012024,27.961820188773117,21.022498111219797,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,72.0,4200.21884397928,10.581520601240133,2.0082828376437964,0.18954193388777962,0.17981837606837606,0.04928063741891672,0.6986544805762193,91,2.0187487602233887,2.0248984121717513,FCFSPOLICY
