episode,accept_rate,balanced_accept_rate,mean_service_len,mean_hops,mean_datarate,mean_latency,mean_resd_latency,serivce_0_accepts,serivce_0_requests,serivce_0_num_invalid,serivce_0_num_rejects,serivce_0_no_egress_route,serivce_0_no_extension,serivce_0_skipped_on_arrival,serivce_0_mean_service_len,serivce_0_mean_hops,serivce_0_mean_datarate,serivce_0_mean_latency,serivce_0_mean_resd_latency,serivce_1_accepts,serivce_1_requests,serivce_1_num_invalid,serivce_1_num_rejects,serivce_1_no_egress_route,serivce_1_no_extension,serivce_1_skipped_on_arrival,serivce_1_mean_service_len,serivce_1_mean_hops,serivce_1_mean_datarate,serivce_1_mean_latency,serivce_1_mean_resd_latency,serivce_2_accepts,serivce_2_requests,serivce_2_num_invalid,serivce_2_num_rejects,serivce_2_no_egress_route,serivce_2_no_extension,serivce_2_skipped_on_arrival,serivce_2_mean_service_len,serivce_2_mean_hops,serivce_2_mean_datarate,serivce_2_mean_latency,serivce_2_mean_resd_latency,serivce_3_accepts,serivce_3_requests,serivce_3_num_invalid,serivce_3_num_rejects,serivce_3_no_egress_route,serivce_3_no_extension,serivce_3_skipped_on_arrival,serivce_3_mean_service_len,serivce_3_mean_hops,serivce_3_mean_datarate,serivce_3_mean_latency,serivce_3_mean_resd_latency,mean_cutil,mean_mutil,mean_dutil,ep_return,ep_length,ep_time,time,agent
0,0.33064516129032256,0.010488671274961598,2.682926829268293,3.7439024390243905,253.8396672199853,1.5975840442494211,0.9997939528111991,19.0,66.0,0.0,0.0,0.0,6.0,0.0,76.0,80.0,4218.514096840693,43.95806943547098,31.79834130581894,18.0,62.0,0.0,0.0,1.0,2.0,0.0,54.0,72.0,3664.3116490386383,29.113640752118414,17.821493061005704,23.0,64.0,0.0,0.0,0.0,0.0,0.0,46.0,84.0,8575.822318435889,44.97895241313181,30.3558183185595,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,71.0,4356.2046477235735,12.95122902773133,2.007451445134181,0.330743123974245,0.24938644688644687,0.11123698836411812,0.5337628637090495,91,2.036083698272705,2.042228434002027,PPO
1,0.3225806451612903,0.009211495946941784,2.825,3.7875,249.88306514178913,1.6588842902771923,1.1200879208062875,25.0,69.0,0.0,0.0,0.0,3.0,0.0,100.0,108.0,5412.330641264553,66.08449905259221,48.39313253701,16.0,64.0,0.0,0.0,2.0,5.0,0.0,48.0,67.0,3037.094400010542,27.430005062879008,16.822477680133638,21.0,63.0,0.0,0.0,1.0,0.0,0.0,42.0,73.0,8216.32063026285,31.74885012988534,22.38433720363994,18.0,59.0,0.0,0.0,0.0,0.0,0.0,36.0,55.0,3324.899539805185,7.447388976818821,2.007086243719408,0.33717869881241874,0.230509768009768,0.12195672730026981,0.4579955487297209,91,1.9579620361328125,1.9642555241007358,PPO
2,0.3387096774193548,0.011302525016094363,2.6904761904761907,3.642857142857143,249.26424559595694,1.2711825335973674,0.8272257643625196,18.0,61.0,0.0,0.0,2.0,0.0,0.0,72.0,64.0,3794.353136313522,34.44427172878016,26.921021498907344,22.0,67.0,0.0,0.0,1.0,3.0,0.0,66.0,89.0,4872.151298130658,29.849672160985033,19.9701985067873,18.0,59.0,0.0,0.0,0.0,0.0,0.0,36.0,60.0,7287.071363519371,27.723796855574786,21.58327281563385,26.0,68.0,0.0,0.0,1.0,0.0,0.0,52.0,93.0,4984.620832096833,14.761592076838895,1.0124713851231508,0.2776172089972563,0.2310088522588523,0.08778759819111327,0.5039110179897339,91,1.9773941040039062,1.9840142759494483,PPO
3,0.32661290322580644,0.009892763666960201,2.7777777777777777,3.6049382716049383,255.4541215703075,1.4521170686236398,0.9223208637132958,19.0,63.0,0.0,0.0,1.0,2.0,0.0,76.0,72.0,4143.585405455205,45.31527821466162,33.14278045892077,25.0,72.0,0.0,0.0,1.0,5.0,0.0,75.0,103.0,5184.8776244789115,38.63921921438833,23.265359200595153,20.0,61.0,0.0,0.0,0.0,0.0,0.0,40.0,64.0,8018.128894461141,25.39735517102627,17.293655814372933,17.0,59.0,0.0,0.0,1.0,0.0,0.0,34.0,53.0,3345.19192279965,8.269629958438596,1.006194486888098,0.351204226388248,0.24113553113553118,0.09832189938178633,0.453686656789135,91,1.988048791885376,1.995329009834677,PPO
4,0.33064516129032256,0.009281152630764813,2.5853658536585367,3.7195121951219514,251.1501076408996,1.1428172817003568,0.6894923999526089,14.0,59.0,0.0,0.0,0.0,4.0,0.0,56.0,57.0,2849.9532918231807,27.084898159193607,20.919052053729935,20.0,65.0,0.0,0.0,1.0,3.0,0.0,60.0,92.0,4595.929182254394,33.83043074670972,20.731251360583705,18.0,59.0,0.0,0.0,0.0,0.0,0.0,36.0,51.0,7576.422428449974,16.83542924322643,12.874941484758503,30.0,72.0,0.0,0.0,1.0,0.0,0.0,60.0,105.0,5572.003924026218,15.960258950299506,2.013131897041789,0.35409712639626634,0.23780830280830276,0.10456455794281151,0.4842712073584372,91,1.8874711990356445,1.8933812319301069,PPO
5,0.3225806451612903,0.00919373028455617,2.65,3.4125,267.557295272493,1.188378490712406,0.8047704036764374,15.0,61.0,0.0,0.0,3.0,2.0,0.0,60.0,56.0,3354.6181054449444,32.16066376351745,24.889213691265788,22.0,68.0,0.0,0.0,4.0,1.0,0.0,66.0,88.0,4752.969305983641,27.252820351629506,16.738912736000398,25.0,66.0,0.0,0.0,0.0,0.0,0.0,50.0,72.0,9771.477517078514,26.591564510398932,20.746000113417345,18.0,59.0,0.0,0.0,0.0,0.0,0.0,36.0,57.0,3525.5186932923402,9.065230631446584,2.007505753431463,0.25714107317655094,0.22482753357753357,0.07708400692066891,-0.672009746429085,91,1.9736711978912354,1.980635188985616,PPO
6,0.3467741935483871,0.012413194444444444,2.63953488372093,4.011627906976744,275.3649352731629,1.6753026060188942,1.084798335987579,17.0,60.0,0.0,0.0,1.0,1.0,0.0,68.0,83.0,3891.752847163058,46.78778290547537,34.944959451147746,21.0,63.0,0.0,0.0,1.0,0.0,0.0,63.0,83.0,4530.415858433994,36.756356546221845,25.552061190109526,26.0,68.0,0.0,0.0,1.0,0.0,0.0,52.0,105.0,10757.671153302557,49.35005555401361,32.78509265718118,22.0,64.0,0.0,0.0,1.0,0.0,0.0,44.0,74.0,4501.544574592402,11.18182911191407,0.010543596493355643,0.2468620889030377,0.2257905982905983,0.09620426943944829,0.6397723725883553,91,1.9509503841400146,1.958564646076411,PPO
7,0.34274193548387094,0.012031071491892855,2.6705882352941175,3.8588235294117648,258.96973422636637,1.3991169866500512,0.8990522210783628,19.0,63.0,0.0,0.0,0.0,3.0,0.0,76.0,88.0,4096.854232373142,45.256924335794096,32.228117667273274,19.0,63.0,0.0,0.0,1.0,2.0,0.0,57.0,85.0,4175.7556389239535,25.616103619798665,13.783439559334145,22.0,63.0,0.0,0.0,0.0,0.0,0.0,44.0,91.0,8870.40933337722,39.57265207370721,27.40389526337849,25.0,66.0,0.0,0.0,0.0,0.0,0.0,50.0,64.0,4869.408204566822,8.479263835954384,3.0039863016749275,0.3036794077922265,0.2217628205128205,0.12244825298786077,0.5573301418761847,91,1.9539968967437744,1.96081611700356,PPO
8,0.3467741935483871,0.01259073485033847,2.7093023255813953,3.4651162790697674,266.42518430798583,1.3253828475987923,0.9080207160845373,21.0,64.0,0.0,0.0,1.0,1.0,0.0,84.0,75.0,4531.16711696568,35.33372854024645,25.566532933448002,19.0,63.0,0.0,0.0,3.0,0.0,0.0,57.0,83.0,4170.707141897461,35.36206748750738,23.397970646365042,26.0,67.0,0.0,0.0,0.0,0.0,0.0,52.0,79.0,10161.42080817783,34.11394106905225,28.11937177782437,20.0,61.0,0.0,0.0,0.0,0.0,0.0,40.0,61.0,4049.270783445813,9.173187796690042,1.0059062256328009,0.31076712187805505,0.271959706959707,0.1004939321741977,0.5937284826334274,91,1.945160150527954,1.9510309910401702,PPO
9,0.34274193548387094,0.010890273701470677,2.5764705882352943,3.5647058823529414,247.96520180848404,1.3117025908552589,0.8613533168234272,14.0,55.0,0.0,0.0,0.0,0.0,0.0,56.0,55.0,2973.725933543602,39.91438049938206,32.88118636501674,21.0,68.0,0.0,0.0,4.0,2.0,0.0,63.0,90.0,4384.226991375873,31.175887996570317,19.752340863882683,20.0,61.0,0.0,0.0,0.0,0.0,0.0,40.0,62.0,8162.313931887054,25.402854774205792,18.56836170666011,30.0,71.0,0.0,0.0,0.0,0.0,0.0,60.0,96.0,5556.775296914615,15.001596952538826,2.013142994431773,0.258994125599335,0.23472069597069598,0.07384397304780804,0.5294418228511594,91,1.7682993412017822,1.7735785038676113,PPO
