episode,accept_rate,balanced_accept_rate,mean_service_len,mean_hops,mean_datarate,mean_latency,mean_resd_latency,serivce_0_accepts,serivce_0_requests,serivce_0_num_invalid,serivce_0_num_rejects,serivce_0_no_egress_route,serivce_0_no_extension,serivce_0_skipped_on_arrival,serivce_0_mean_service_len,serivce_0_mean_hops,serivce_0_mean_datarate,serivce_0_mean_latency,serivce_0_mean_resd_latency,serivce_1_accepts,serivce_1_requests,serivce_1_num_invalid,serivce_1_num_rejects,serivce_1_no_egress_route,serivce_1_no_extension,serivce_1_skipped_on_arrival,serivce_1_mean_service_len,serivce_1_mean_hops,serivce_1_mean_datarate,serivce_1_mean_latency,serivce_1_mean_resd_latency,serivce_2_accepts,serivce_2_requests,serivce_2_num_invalid,serivce_2_num_rejects,serivce_2_no_egress_route,serivce_2_no_extension,serivce_2_skipped_on_arrival,serivce_2_mean_service_len,serivce_2_mean_hops,serivce_2_mean_datarate,serivce_2_mean_latency,serivce_2_mean_resd_latency,serivce_3_accepts,serivce_3_requests,serivce_3_num_invalid,serivce_3_num_rejects,serivce_3_no_egress_route,serivce_3_no_extension,serivce_3_skipped_on_arrival,serivce_3_mean_service_len,serivce_3_mean_hops,serivce_3_mean_datarate,serivce_3_mean_latency,serivce_3_mean_resd_latency,mean_cutil,mean_mutil,mean_dutil,ep_return,ep_length,ep_time,time,agent
0,0.2823529411764706,0.006328219905641722,2.8194444444444446,3.861111111111111,247.1317044161437,1.6829034038536725,1.0655406095578968,19.0,72.0,0.0,0.0,0.0,12.0,0.0,76.0,91.0,4164.594566571328,49.97450999767811,35.24441603627357,21.0,69.0,0.0,0.0,3.0,4.0,0.0,63.0,82.0,4344.9028262823,31.219769453626284,18.970515618968836,16.0,57.0,0.0,0.0,0.0,0.0,0.0,32.0,54.0,5986.860699864797,30.892337031586177,21.49825124805034,16.0,57.0,0.0,0.0,0.0,0.0,0.0,32.0,51.0,3297.124625243921,9.082428594573837,1.0057409848758119,0.3371367316293838,0.2486507936507937,0.10573053441401294,0.4190449842680908,91,2.0111117362976074,2.0158823118545115,LONGESTPOLICY
1,0.3058823529411765,0.008459034254727138,2.871794871794872,3.871794871794872,243.76024326735686,1.7478496786320772,1.1926240214270005,25.0,71.0,0.0,0.0,1.0,4.0,0.0,100.0,105.0,5214.464824674757,68.98223576508052,50.738736369457584,18.0,67.0,0.0,0.0,4.0,4.0,0.0,54.0,81.0,3603.371279331816,31.88533780472499,19.22989318854154,18.0,59.0,0.0,0.0,0.0,0.0,0.0,36.0,64.0,7048.619800712501,28.598776073245695,21.049182105135127,17.0,58.0,0.0,0.0,0.0,0.0,0.0,34.0,52.0,3146.8430701347606,6.865925290250842,2.006862008171785,0.3201910951046475,0.23198412698412693,0.10608709681062957,0.5061822964695094,91,1.9073097705841064,1.9123468559700996,LONGESTPOLICY
2,0.3137254901960784,0.009396365933412603,2.8375,3.7875,244.51640046164556,1.391458437535087,0.9127496078275075,21.0,64.0,0.0,0.0,0.0,2.0,0.0,84.0,77.0,4352.3288271408765,37.76297178886097,29.94280023620138,25.0,75.0,0.0,0.0,4.0,5.0,0.0,75.0,104.0,5034.557130608982,35.91872273041925,21.41842961114352,17.0,58.0,0.0,0.0,0.0,0.0,0.0,34.0,59.0,6835.729436895626,27.723796855574786,20.64973666745935,17.0,58.0,0.0,0.0,0.0,0.0,0.0,34.0,63.0,3338.696642286159,9.91118362795195,1.009002111396345,0.2913597220442765,0.23934981684981682,0.08386425537723158,0.5163842889006182,91,2.025902032852173,2.032129982020706,LONGESTPOLICY
3,0.3176470588235294,0.010230910174077222,2.740740740740741,3.493827160493827,254.79876661060226,1.3849546964471933,0.8985558076656932,19.0,61.0,0.0,0.0,0.0,1.0,0.0,76.0,62.0,4167.329798118957,41.72515917487837,32.00028881129371,22.0,72.0,0.0,0.0,3.0,6.0,0.0,66.0,96.0,4555.535684231751,35.75876439962926,21.48193592470802,20.0,61.0,0.0,0.0,0.0,0.0,0.0,40.0,64.0,8018.128894461141,25.39735517102627,17.293655814372933,20.0,61.0,0.0,0.0,0.0,0.0,0.0,40.0,61.0,3897.7057186469356,9.300051666688752,2.0071398705464807,0.31083458221908417,0.24243894993894996,0.0933500917605853,0.5716655300911367,91,2.027249574661255,2.0345997831318527,LONGESTPOLICY
4,0.2901960784313726,0.006736849669445242,2.918918918918919,3.9864864864864864,243.42215893612166,1.4670320803196368,0.9464980512659278,24.0,72.0,0.0,0.0,3.0,4.0,0.0,96.0,102.0,4781.088005959312,49.710273080667264,36.734646457640544,20.0,71.0,0.0,0.0,1.0,9.0,0.0,60.0,100.0,4219.09254188366,37.16626998059066,21.345484490155584,15.0,56.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,6449.308397470194,13.448179723272172,10.954183103529692,15.0,56.0,0.0,0.0,0.0,0.0,0.0,30.0,53.0,2563.750815959838,8.235651159123003,1.0065417423528318,0.35429890531069763,0.2406990231990232,0.10466662744148814,0.4269173035173147,91,1.9990291595458984,2.0049710418097675,LONGESTPOLICY
5,0.3137254901960784,0.009626666666666667,2.75,3.625,250.69246335302978,1.2771690853327966,0.8152673325761445,18.0,60.0,0.0,0.0,0.0,1.0,0.0,72.0,74.0,4124.003563429104,40.52013826465388,28.77558086086132,24.0,75.0,0.0,0.0,6.0,4.0,0.0,72.0,100.0,4994.256936267614,31.793343818388408,18.94705575706062,19.0,60.0,0.0,0.0,0.0,0.0,0.0,38.0,56.0,7219.06587582793,20.10060344191811,15.490655915858959,19.0,60.0,0.0,0.0,0.0,0.0,0.0,38.0,60.0,3718.0706927177343,9.759441301663333,2.008094072310651,0.29159064676252194,0.2404197191697192,0.0951017937530758,0.5437767966573737,91,1.997687578201294,2.003963317954913,LONGESTPOLICY
6,0.3215686274509804,0.010660616705698671,2.768292682926829,3.975609756097561,264.6168727299885,1.7282453875438957,1.1422475486063117,20.0,64.0,0.0,0.0,1.0,2.0,0.0,80.0,91.0,4580.517747950057,54.53076015579571,40.18770390768418,23.0,70.0,0.0,0.0,2.0,4.0,0.0,69.0,97.0,4870.811407438463,42.65617715572498,29.45770273300401,20.0,61.0,0.0,0.0,0.0,0.0,0.0,40.0,78.0,8331.294835326,35.530569612269076,24.010493703926233,19.0,60.0,0.0,0.0,0.0,0.0,0.0,38.0,60.0,3915.9595731445324,8.9986148548097,0.008398641103145137,0.29207745912397337,0.24264346764346773,0.10405867503086441,0.5896775624194097,91,2.0025086402893066,2.008462837897241,LONGESTPOLICY
7,0.2980392156862745,0.007385766806722689,2.8815789473684212,3.8421052631578947,243.43195948603932,1.6066128419482464,1.092123626740998,21.0,68.0,0.0,0.0,2.0,4.0,0.0,84.0,84.0,4342.7277014354495,48.83485219441682,37.49567491190396,25.0,75.0,0.0,0.0,2.0,7.0,0.0,75.0,110.0,5276.559143048714,39.04868939659998,21.872043721887653,15.0,56.0,0.0,0.0,0.0,0.0,0.0,30.0,65.0,5952.571646264363,30.771989993820387,20.631423242649895,15.0,56.0,0.0,0.0,0.0,0.0,0.0,30.0,33.0,2928.970430190463,3.447044403229543,3.0022537558743285,0.3376725025890877,0.23217796092796095,0.11811276681623209,0.456169850879642,91,2.010087728500366,2.0171016349922866,LONGESTPOLICY
8,0.2980392156862745,0.007326457389757982,2.9342105263157894,3.8289473684210527,241.00793093390593,1.5862985663665192,1.0429704843263095,25.0,73.0,0.0,0.0,1.0,6.0,0.0,100.0,96.0,5159.997868620574,51.58575899418522,37.344476330842625,21.0,68.0,0.0,0.0,2.0,4.0,0.0,63.0,105.0,4587.390130516836,39.749448465183576,22.66424266981892,15.0,56.0,0.0,0.0,0.0,0.0,0.0,30.0,46.0,5523.469489717786,22.459736713179026,18.25277002954087,15.0,58.0,0.0,0.0,2.0,0.0,0.0,30.0,44.0,3045.7452621216557,6.763746871307632,1.0042677785971095,0.3253610839792738,0.2762301587301587,0.1172766895885983,0.42360342919122623,91,1.9954969882965088,2.001360305119306,LONGESTPOLICY
9,0.3137254901960784,0.009749228395061729,2.7875,3.85,252.07154024891207,1.6226660160765392,1.1189407327692527,21.0,63.0,0.0,0.0,0.0,1.0,0.0,84.0,94.0,4517.299683175957,61.09852496400152,47.82339599212013,21.0,72.0,0.0,0.0,2.0,8.0,0.0,63.0,93.0,4286.262262721322,34.67469031202311,21.540738508220038,19.0,60.0,0.0,0.0,0.0,0.0,0.0,38.0,59.0,7755.610930241135,24.666525499217755,18.143471411015998,19.0,60.0,0.0,0.0,0.0,0.0,0.0,38.0,62.0,3606.5503437745497,9.373540510880748,2.0076527101840433,0.2861593612204699,0.25206654456654454,0.08651687050902053,0.5442666913080091,91,2.027477502822876,2.033973501995206,LONGESTPOLICY
