#{"t_start": 1653441351.095671, "env_id": null}
r,l,t
0.0,2,0.015946
0.0,3,0.027931
0.0,3,0.038575
0.0,2,0.048756
1.0,4,0.063497
0.0,1,0.071152
0.0,4,0.084234
0.0,1,0.09241
0.0,1,0.101726
0.0,2,0.112871
0.0,2,0.123274
0.0,2,0.133905
0.0,4,0.146963
0.0,1,0.155387
0.0,4,0.16977
0.0,1,0.177366
0.0,1,0.185746
0.0,1,0.193358
0.0,1,0.202002
0.0,4,0.215581
0.0,1,0.224623
0.0,1,0.233906
0.0,1,0.242097
0.0,2,0.253636
0.0,1,0.262154
0.0,1,0.270118
0.0,3,0.282528
0.0,2,0.293767
0.0,4,0.30748
0.0,2,0.318039
0.0,1,0.326521
0.0,1,0.335544
0.0,2,0.345931
0.0,2,0.356234
1.0,5,0.373836
0.0,2,0.384318
0.0,3,0.396219
0.0,3,0.409314
0.0,2,0.420113
0.0,2,0.430964
0.0,5,0.447041
0.0,1,0.456153
0.0,1,0.465045
2.0,7,0.484626
1.0,8,0.505359
1.0,4,0.518315
0.0,3,0.530711
1.0,6,0.549393
0.0,1,0.557596
0.0,1,0.565642
0.0,1,0.573869
0.0,1,0.581444
0.0,4,0.594877
0.0,3,0.605603
0.0,1,0.6143
0.0,4,0.62623
0.0,1,0.634323
0.0,1,0.642559
0.0,1,0.650992
0.0,2,0.662123
0.0,2,0.672756
0.0,2,0.682539
0.0,4,0.697289
0.0,1,0.705767
0.0,3,0.717094
1.0,6,0.735607
0.0,1,0.743763
0.0,3,0.75617
0.0,1,0.765426
0.0,1,0.773047
0.0,2,0.784078
0.0,2,0.795009
0.0,1,0.803509
0.0,1,0.811903
0.0,1,0.81901
0.0,2,0.83021
0.0,2,0.840456
0.0,4,0.853625
0.0,4,0.868723
0.0,4,0.882171
1.0,5,0.897855
0.0,3,0.909688
0.0,3,0.919576
0.0,3,0.931644
0.0,2,0.940374
0.0,1,0.948373
0.0,1,0.956549
0.0,3,0.969551
0.0,2,0.980612
0.0,4,0.995549
0.0,1,1.004179
0.0,4,1.018925
1.0,4,1.033284
0.0,1,1.041469
1.0,3,1.054179
0.0,2,1.065454
0.0,1,1.074327
0.0,1,1.083006
0.0,2,1.093581
0.0,2,1.103028
0.0,2,1.113497
0.0,4,1.127845
0.0,2,1.137937
0.0,2,1.148627
0.0,1,1.157422
0.0,2,1.166464
0.0,6,1.183959
0.0,3,1.195013
0.0,4,1.20844
0.0,3,1.219841
0.0,3,1.232838
0.0,1,1.240711
0.0,2,1.251834
0.0,2,1.262759
1.0,4,1.276321
1.0,6,1.294475
0.0,2,1.30439
0.0,1,1.31207
0.0,2,1.322387
1.0,8,1.343963
0.0,3,1.357361
0.0,3,1.37031
1.0,4,1.385232
0.0,1,1.394119
1.0,7,1.413673
0.0,2,1.424111
1.0,7,1.444143
0.0,1,1.453327
0.0,4,1.467786
0.0,1,1.475734
0.0,1,1.484476
0.0,3,1.496478
0.0,1,1.504876
0.0,1,1.514051
0.0,2,1.524853
0.0,2,1.534931
0.0,2,1.545117
1.0,4,1.558578
0.0,2,1.56885
0.0,1,1.576708
1.0,5,1.592648
1.0,6,1.609092
0.0,2,1.618753
0.0,2,1.627363
0.0,1,1.637002
0.0,1,1.646155
