#{"t_start": 1653365178.2220185, "env_id": null}
r,l,t
0.0,2,0.038164
0.0,3,0.050442
0.0,3,0.06107
0.0,2,0.071591
1.0,4,0.087289
0.0,1,0.095114
0.0,4,0.108639
0.0,1,0.117054
0.0,1,0.127106
0.0,2,0.138556
0.0,2,0.148869
0.0,2,0.160075
0.0,4,0.1761
0.0,1,0.187286
0.0,4,0.201829
0.0,1,0.209867
0.0,1,0.218585
0.0,1,0.226601
0.0,1,0.235355
0.0,4,0.249062
0.0,1,0.258404
0.0,1,0.267723
0.0,1,0.276178
0.0,2,0.288062
0.0,1,0.296752
0.0,1,0.304901
0.0,3,0.317443
0.0,2,0.329026
0.0,4,0.343077
0.0,2,0.353873
0.0,1,0.362565
0.0,1,0.371794
0.0,2,0.382718
0.0,2,0.393161
1.0,5,0.411141
0.0,2,0.42244
0.0,3,0.434483
0.0,3,0.447499
0.0,2,0.458719
0.0,2,0.469714
0.0,5,0.486211
0.0,1,0.495227
0.0,1,0.504257
2.0,7,0.524089
1.0,8,0.546209
1.0,4,0.559373
0.0,3,0.572032
1.0,6,0.591095
0.0,1,0.599464
0.0,1,0.607629
0.0,1,0.616019
0.0,1,0.623687
0.0,4,0.637654
0.0,3,0.648625
0.0,1,0.657437
0.0,4,0.670345
0.0,1,0.678836
0.0,1,0.687176
0.0,1,0.695705
0.0,2,0.707255
0.0,2,0.717928
0.0,2,0.72808
0.0,4,0.743131
0.0,1,0.75164
0.0,3,0.763058
1.0,6,0.782161
0.0,1,0.790596
0.0,3,0.80308
0.0,1,0.812521
0.0,1,0.820268
0.0,2,0.83172
0.0,2,0.842933
0.0,1,0.851643
0.0,1,0.859977
0.0,1,0.867247
0.0,2,0.878732
0.0,2,0.889002
0.0,4,0.902097
0.0,4,0.917097
0.0,4,0.930725
1.0,5,0.946852
0.0,3,0.959007
0.0,3,0.969173
0.0,3,0.981654
0.0,2,0.990525
0.0,1,0.999034
0.0,1,1.007478
0.0,3,1.020444
0.0,2,1.03189
0.0,4,1.047012
0.0,1,1.055989
0.0,4,1.070768
1.0,4,1.085289
0.0,1,1.093432
1.0,3,1.106359
0.0,2,1.117933
0.0,1,1.127141
0.0,1,1.135891
0.0,2,1.146635
0.0,2,1.156337
0.0,2,1.167585
0.0,4,1.182131
0.0,2,1.192657
0.0,2,1.203532
0.0,1,1.212487
0.0,2,1.221434
0.0,6,1.239402
0.0,3,1.250938
0.0,4,1.264514
0.0,3,1.276218
0.0,3,1.289628
0.0,1,1.297719
0.0,2,1.309062
0.0,2,1.320202
1.0,4,1.334204
1.0,6,1.352666
0.0,2,1.362923
0.0,1,1.370761
0.0,2,1.381531
1.0,8,1.403568
0.0,3,1.417414
0.0,3,1.430521
1.0,4,1.445635
0.0,1,1.454954
1.0,7,1.475143
0.0,2,1.485745
1.0,7,1.506148
0.0,1,1.515426
0.0,4,1.530105
0.0,1,1.538493
0.0,1,1.547629
0.0,3,1.560037
0.0,1,1.568538
0.0,1,1.578202
0.0,2,1.589316
0.0,2,1.599378
0.0,2,1.609767
1.0,4,1.623353
0.0,2,1.634115
0.0,1,1.642057
1.0,5,1.658723
1.0,6,1.676461
0.0,2,1.686545
0.0,2,1.695313
0.0,1,1.705391
0.0,1,1.714814
0.0,1,1.723614
0.0,1,1.731415
0.0,2,1.741735
1.0,6,1.758973
0.0,1,1.76846
0.0,1,1.777081
0.0,1,1.785629
1.0,6,1.802788
1.0,4,1.817361
0.0,3,1.829188
0.0,2,1.841437
2.0,8,1.863589
0.0,1,1.871924
1.0,3,1.884374
0.0,2,1.89446
0.0,2,1.904407
0.0,1,1.914293
0.0,1,1.923743
0.0,3,1.937177
0.0,2,1.945725
1.0,4,1.960415
1.0,4,1.974433
0.0,2,1.985969
1.0,6,2.002591
0.0,4,2.018043
0.0,2,2.029475
1.0,5,2.0468
0.0,2,2.05697
0.0,4,2.070654
0.0,1,2.079474
0.0,1,2.087449
0.0,1,2.095837
0.0,3,2.109474
0.0,2,2.118523
0.0,1,2.127998
0.0,2,2.137772
0.0,2,2.148601
0.0,2,2.159386
0.0,2,2.170391
0.0,2,2.180646
0.0,1,2.189402
0.0,1,2.197976
2.0,7,2.217604
0.0,2,2.22744
0.0,1,2.236386
0.0,1,2.244612
1.0,6,2.262055
1.0,9,2.287498
0.0,2,2.298115
0.0,1,2.306358
1.0,6,2.32435
0.0,3,2.336893
0.0,4,2.350959
0.0,1,2.359208
