#{"t_start": 1653531679.7720191, "env_id": null}
r,l,t
0.0,5,0.023887
0.0,2,0.033778
0.0,1,0.041731
0.0,1,0.050954
1.0,3,0.063758
0.0,2,0.071676
0.0,4,0.083239
0.0,2,0.091928
0.0,2,0.102769
0.0,6,0.116357
1.0,4,0.12905
0.0,3,0.140583
0.0,2,0.14952
0.0,1,0.157573
0.0,2,0.166179
0.0,1,0.175989
0.0,1,0.184493
0.0,2,0.192465
0.0,1,0.20096
0.0,2,0.211154
1.0,6,0.227416
0.0,5,0.241851
0.0,1,0.249997
0.0,2,0.26119
0.0,2,0.270265
0.0,1,0.278013
0.0,5,0.291852
0.0,1,0.300869
0.0,2,0.311251
0.0,2,0.321314
0.0,1,0.329339
0.0,4,0.34181
0.0,1,0.35094
1.0,6,0.366765
0.0,1,0.37622
0.0,1,0.384486
0.0,3,0.396125
0.0,3,0.407974
0.0,3,0.419906
1.0,6,0.436306
1.0,5,0.450665
0.0,1,0.459121
0.0,2,0.468321
1.0,4,0.481212
0.0,3,0.492781
0.0,4,0.50511
0.0,3,0.516308
1.0,6,0.531968
0.0,1,0.540162
0.0,1,0.547812
0.0,1,0.555736
0.0,1,0.562751
0.0,3,0.574346
0.0,1,0.582616
0.0,1,0.591124
0.0,2,0.600458
0.0,1,0.608605
0.0,1,0.616573
0.0,2,0.62529
0.0,2,0.635452
0.0,2,0.64569
1.0,5,0.660244
0.0,1,0.669983
0.0,4,0.681946
0.0,2,0.691374
0.0,3,0.703237
0.0,1,0.711077
1.0,4,0.723603
0.0,3,0.73532
0.0,2,0.743115
0.0,5,0.756592
0.0,2,0.766265
0.0,1,0.774794
0.0,2,0.783281
0.0,1,0.790171
0.0,3,0.800908
0.0,1,0.810028
1.0,4,0.822475
0.0,2,0.832538
0.0,3,0.843793
2.0,9,0.863859
0.0,3,0.875026
0.0,1,0.882909
0.0,3,0.894148
0.0,1,0.901817
0.0,1,0.909738
0.0,3,0.919635
0.0,5,0.932322
0.0,2,0.943393
1.0,5,0.9572
0.0,2,0.966123
1.0,4,0.978839
1.0,4,0.991856
0.0,2,1.000173
1.0,3,1.012041
0.0,2,1.021909
0.0,1,1.03093
0.0,5,1.044902
2.0,8,1.064564
0.0,1,1.073099
0.0,3,1.084039
0.0,2,1.094725
0.0,4,1.107837
1.0,6,1.122507
0.0,1,1.131244
0.0,1,1.139042
0.0,3,1.150861
0.0,3,1.161291
0.0,1,1.169744
0.0,3,1.17923
0.0,3,1.191836
1.0,5,1.203303
1.0,4,1.217116
0.0,3,1.228952
0.0,3,1.239394
1.0,6,1.254696
0.0,4,1.268205
0.0,1,1.275447
0.0,1,1.284442
4.0,20,1.318905
1.0,4,1.332996
0.0,3,1.344313
0.0,2,1.354634
0.0,2,1.364084
1.0,5,1.378571
