episode,accept_rate,balanced_accept_rate,mean_service_len,mean_hops,mean_datarate,mean_latency,mean_resd_latency,serivce_0_accepts,serivce_0_requests,serivce_0_num_invalid,serivce_0_num_rejects,serivce_0_no_egress_route,serivce_0_no_extension,serivce_0_skipped_on_arrival,serivce_0_mean_service_len,serivce_0_mean_hops,serivce_0_mean_datarate,serivce_0_mean_latency,serivce_0_mean_resd_latency,serivce_1_accepts,serivce_1_requests,serivce_1_num_invalid,serivce_1_num_rejects,serivce_1_no_egress_route,serivce_1_no_extension,serivce_1_skipped_on_arrival,serivce_1_mean_service_len,serivce_1_mean_hops,serivce_1_mean_datarate,serivce_1_mean_latency,serivce_1_mean_resd_latency,serivce_2_accepts,serivce_2_requests,serivce_2_num_invalid,serivce_2_num_rejects,serivce_2_no_egress_route,serivce_2_no_extension,serivce_2_skipped_on_arrival,serivce_2_mean_service_len,serivce_2_mean_hops,serivce_2_mean_datarate,serivce_2_mean_latency,serivce_2_mean_resd_latency,serivce_3_accepts,serivce_3_requests,serivce_3_num_invalid,serivce_3_num_rejects,serivce_3_no_egress_route,serivce_3_no_extension,serivce_3_skipped_on_arrival,serivce_3_mean_service_len,serivce_3_mean_hops,serivce_3_mean_datarate,serivce_3_mean_latency,serivce_3_mean_resd_latency,mean_cutil,mean_mutil,mean_dutil,ep_return,ep_length,ep_time,time,agent
0,0.11320754716981132,0.00023342670401493935,2.388888888888889,4.777777777777778,247.6514355467644,13.916687136593772,5.62536604543548,2.0,10.0,0.0,0.0,0.0,4.0,0.0,8.0,11.0,313.9715014312293,61.4815909029231,41.516079051261414,3.0,68.0,0.0,0.0,2.0,15.0,0.0,9.0,23.0,716.1752462756972,64.44271692784449,27.578083371001917,5.0,21.0,0.0,0.0,5.0,3.0,0.0,10.0,23.0,2068.5882795882,77.68519718613953,31.124958959687678,8.0,72.0,0.0,0.0,6.0,5.0,0.0,16.0,29.0,1358.9908125466325,46.89086344178075,1.0374674358876237,0.24953177954240635,0.3376388888888889,0.22177243362907886,440.23571428571427,75,1.3030526638031006,1.315165284089744,Random
1,0.16184971098265896,0.0006593406593406592,2.642857142857143,5.821428571428571,214.30937085397292,17.814117859007574,7.459929769886882,5.0,30.0,0.0,0.0,3.0,13.0,0.0,20.0,41.0,1067.7850975363851,225.78905228089744,135.4897920477779,8.0,100.0,0.0,0.0,7.0,12.0,0.0,24.0,54.0,1568.5850112406592,155.04784430563205,60.40488492467155,3.0,14.0,0.0,0.0,5.0,3.0,0.0,6.0,31.0,1174.7724135152198,69.47267175114699,11.930123951394204,12.0,52.0,0.0,0.0,6.0,6.0,0.0,24.0,37.0,2189.519861618978,48.485731714535596,1.0532326329890145,0.1558674966831079,0.22369614512471658,0.2206785491312311,874.2997113997112,98,1.7057445049285889,1.7169392390642315,Random
2,0.10344827586206896,9.780907668231612e-05,2.3333333333333335,4.0,253.17690715356628,9.688159388749519,3.2181271466316868,2.0,18.0,0.0,0.0,4.0,7.0,0.0,8.0,13.0,381.66048294449547,32.4333513177719,11.31133991336249,2.0,71.0,0.0,0.0,4.0,11.0,0.0,6.0,12.0,376.19552558712473,28.97949811289799,8.791203765777112,4.0,20.0,0.0,0.0,9.0,2.0,0.0,8.0,23.0,1753.4133719125055,89.17227839624843,34.801564819113835,10.0,64.0,0.0,0.0,5.0,3.0,0.0,20.0,24.0,2045.9149483200674,23.801741170572992,3.022180141116924,0.036347795649250746,0.05279492455418381,0.047311790708449306,568.1087301587302,81,1.3919477462768555,1.404675547964871,Random
3,0.16111111111111112,0.0007043803653973145,2.413793103448276,4.896551724137931,247.43418588783393,12.356152825287241,4.149678044398921,3.0,21.0,0.0,0.0,2.0,9.0,0.0,12.0,31.0,627.3921105696166,115.22483353956702,53.56483342552593,6.0,90.0,0.0,0.0,2.0,12.0,0.0,18.0,43.0,1307.3936723493548,102.9266791812697,37.1176697600975,8.0,22.0,0.0,0.0,4.0,4.0,0.0,16.0,27.0,2830.833308435888,80.70845837055776,29.63431951748667,12.0,59.0,0.0,0.0,3.0,8.0,0.0,24.0,41.0,2409.9722993923247,59.46846084193547,0.02384058445860049,0.2557511035776548,0.35463483146067415,0.30894063482741935,651.9333694083695,89,1.5098626613616943,1.5214421150740236,Random
4,0.13245033112582782,0.00011753731343283583,2.75,6.2,210.81354720317458,16.498243049735756,4.440910447399749,3.0,30.0,0.0,0.0,3.0,15.0,0.0,12.0,23.0,631.7963088674112,86.47122255736335,25.466527648763492,9.0,80.0,0.0,0.0,3.0,23.0,0.0,27.0,81.0,1972.1776727314777,214.32547298468657,62.333729924800906,1.0,10.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,345.22859736768316,0.0,1.0,7.0,67.0,0.0,0.0,11.0,11.0,0.0,14.0,19.0,1267.0683650969204,29.168165452665175,0.017951374430579037,0.3389545650566784,0.4058198131760079,0.3840210756190157,626.6984126984125,113,1.8566908836364746,1.8674568510614336,Random
5,0.15172413793103448,0.00031655587211142766,2.6818181818181817,5.545454545454546,216.32733960294036,12.39644434698461,2.321206681901875,3.0,24.0,0.0,0.0,1.0,13.0,0.0,12.0,27.0,601.1179639526679,58.10641606438529,2.694134009416929,9.0,81.0,0.0,0.0,2.0,9.0,0.0,27.0,64.0,1706.9363460347952,161.95602622386178,43.93486211095061,2.0,13.0,0.0,0.0,4.0,2.0,0.0,4.0,6.0,826.5595825089032,14.448977907339103,3.4287482128834164,8.0,54.0,0.0,0.0,3.0,10.0,0.0,16.0,25.0,1624.587578768322,38.21035543807528,1.0088026685902993,0.338177286678616,0.42223029715762284,0.43166910365359995,613.6357142857141,86,1.4243934154510498,1.4344022469595075,Random
6,0.1773049645390071,0.0009669621273166801,2.56,6.0,234.03831759622688,16.289596377904466,6.039797833863312,4.0,15.0,0.0,0.0,0.0,4.0,0.0,16.0,54.0,761.5410072160728,167.57045432901492,59.09782098047134,6.0,73.0,0.0,0.0,3.0,12.0,0.0,18.0,47.0,1115.2558588465172,132.49161598554886,39.93284247823956,6.0,18.0,0.0,0.0,3.0,0.0,0.0,12.0,29.0,2208.3065617894235,87.02676320310039,47.94603968625562,9.0,68.0,0.0,0.0,2.0,8.0,0.0,18.0,20.0,1765.8545120536585,20.15107592994748,4.018242701616291,0.2874490054899914,0.3800705467372133,0.342079893241633,388.102380952381,63,1.0816736221313477,1.093646668130532,Random
7,0.10071942446043165,0.00010755290258395848,2.5714285714285716,6.071428571428571,225.87475787583918,16.366502665268506,4.716578768589331,2.0,12.0,0.0,0.0,0.0,5.0,0.0,8.0,20.0,400.0215233574752,85.31302450470928,31.12035642419307,4.0,77.0,0.0,0.0,1.0,14.0,0.0,12.0,37.0,840.5027075313944,89.15077833459874,21.41270140246077,2.0,21.0,0.0,0.0,4.0,2.0,0.0,4.0,10.0,871.3394112420481,30.821873272431695,12.479406841199992,6.0,46.0,0.0,0.0,3.0,5.0,0.0,12.0,18.0,1050.3829681308312,23.845361202019372,1.0196380923968014,0.2425520884522242,0.2971813725490196,0.4474368299981968,234.73333333333332,68,1.0684220790863037,1.0802396510262042,Random
8,0.1518987341772152,0.00039932115403813523,2.5,4.333333333333333,241.57604352868347,10.215648958033674,1.3072903270614329,4.0,21.0,0.0,0.0,0.0,12.0,0.0,16.0,28.0,736.5086119605547,84.36168364052901,4.845995292969482,4.0,99.0,0.0,0.0,4.0,24.0,0.0,12.0,36.0,667.4492706643912,88.80895961033832,16.202607396696116,5.0,20.0,0.0,0.0,7.0,2.0,0.0,10.0,14.0,2166.760003492899,40.83289521007363,7.974880564016701,11.0,53.0,0.0,0.0,9.0,7.0,0.0,22.0,26.0,2227.1071585705577,31.172036531867203,2.3514845957920887,0.2247000278172539,0.2573354341736694,0.4652529058141841,737.0835858585857,119,1.9849262237548828,1.997080127010122,Random
9,0.10294117647058823,3.546099290780141e-05,2.9285714285714284,6.642857142857143,229.16066218262117,19.707014097592275,6.686524843638788,6.0,25.0,0.0,0.0,2.0,9.0,0.0,24.0,66.0,1279.4251224586517,224.73383528061922,86.93568774387475,1.0,72.0,0.0,0.0,8.0,8.0,0.0,3.0,9.0,179.7137736095172,23.159716241132536,5.654437837387632,1.0,12.0,0.0,0.0,10.0,1.0,0.0,2.0,1.0,604.1741944020469,0.0,1.0,6.0,47.0,0.0,0.0,2.0,6.0,0.0,12.0,17.0,1144.936180086481,28.004645844540086,0.02122222968065257,0.17917174935488175,0.1882038288288288,0.44445372914972875,345.3,74,1.2435381412506104,1.2552324819844216,Random
