episode,accept_rate,balanced_accept_rate,mean_service_len,mean_hops,mean_datarate,mean_latency,mean_resd_latency,serivce_0_accepts,serivce_0_requests,serivce_0_num_invalid,serivce_0_num_rejects,serivce_0_no_egress_route,serivce_0_no_extension,serivce_0_skipped_on_arrival,serivce_0_mean_service_len,serivce_0_mean_hops,serivce_0_mean_datarate,serivce_0_mean_latency,serivce_0_mean_resd_latency,serivce_1_accepts,serivce_1_requests,serivce_1_num_invalid,serivce_1_num_rejects,serivce_1_no_egress_route,serivce_1_no_extension,serivce_1_skipped_on_arrival,serivce_1_mean_service_len,serivce_1_mean_hops,serivce_1_mean_datarate,serivce_1_mean_latency,serivce_1_mean_resd_latency,serivce_2_accepts,serivce_2_requests,serivce_2_num_invalid,serivce_2_num_rejects,serivce_2_no_egress_route,serivce_2_no_extension,serivce_2_skipped_on_arrival,serivce_2_mean_service_len,serivce_2_mean_hops,serivce_2_mean_datarate,serivce_2_mean_latency,serivce_2_mean_resd_latency,serivce_3_accepts,serivce_3_requests,serivce_3_num_invalid,serivce_3_num_rejects,serivce_3_no_egress_route,serivce_3_no_extension,serivce_3_skipped_on_arrival,serivce_3_mean_service_len,serivce_3_mean_hops,serivce_3_mean_datarate,serivce_3_mean_latency,serivce_3_mean_resd_latency,mean_cutil,mean_mutil,mean_dutil,ep_return,ep_length,ep_time,time,agent
0,0.3080357142857143,0.0017169297759073684,2.579710144927536,6.427536231884058,266.93738045910385,1.8671934257006095,0.7043806284832167,28.0,156.0,0.0,0.0,13.0,108.0,0.0,112.0,300.0,5715.072383555899,109.6208346013712,45.98884375312432,24.0,195.0,0.0,0.0,15.0,116.0,0.0,72.0,186.0,4985.930531779994,51.92754336686842,17.76589849077344,43.0,130.0,0.0,0.0,30.0,10.0,0.0,86.0,279.0,17782.181371582887,80.99656637915444,32.90880541736926,43.0,183.0,0.0,0.0,31.0,13.0,0.0,86.0,122.0,8354.17421643755,15.127748399290052,0.5409790694168914,0.49092160049802047,0.3166161760958206,0.37477765199669255,70015.00933706816,872,15.060333967208862,15.069492633920163,Random
1,0.32335329341317365,0.002025534252329465,2.5308641975308643,6.549382716049383,277.01854156008983,1.736040829143116,0.5609949976691542,34.0,204.0,0.0,0.0,13.0,147.0,0.0,136.0,377.0,6822.672459442752,112.67394935718197,30.512753989056552,18.0,166.0,0.0,0.0,10.0,139.0,0.0,54.0,161.0,3918.5283676511885,40.991715939486596,10.194658685628555,59.0,171.0,0.0,0.0,37.0,16.0,0.0,118.0,364.0,23837.50072648613,106.32965698113391,46.50718775677597,51.0,157.0,0.0,0.0,17.0,6.0,0.0,102.0,159.0,10298.30217915447,21.24329204338231,3.666589190941886,0.5411265637336847,0.356516236491449,0.4219454985067389,65486.61324786325,1059,18.377240896224976,18.386729035992175,Random
2,0.3150105708245243,0.0018565967093963581,2.5704697986577183,6.583892617449664,275.9719382172031,1.6983863933920151,0.5365834275557607,30.0,176.0,0.0,0.0,10.0,124.0,0.0,120.0,321.0,5905.758842580655,93.5310382447834,28.147850533080398,25.0,186.0,0.0,0.0,13.0,127.0,0.0,75.0,199.0,5113.45211248247,47.39675368869019,13.114392548547068,53.0,173.0,0.0,0.0,51.0,13.0,0.0,106.0,328.0,21679.770619275685,96.59262833542698,38.2026671407375,41.0,155.0,0.0,0.0,23.0,9.0,0.0,82.0,133.0,8420.837220024452,15.539152346509665,0.48602048344337473,0.4944500278271796,0.3314192343604108,0.3760618439840376,83853.57311050358,952,16.388702630996704,16.39973507099785,Random
3,0.35667396061269147,0.0034047042894592805,2.539877300613497,6.251533742331288,271.5472150898408,1.7244921799729536,0.6368660104861876,31.0,168.0,0.0,0.0,9.0,101.0,0.0,124.0,313.0,6353.461722412968,95.03473381097353,32.39339708750913,26.0,156.0,0.0,0.0,9.0,96.0,0.0,78.0,209.0,5004.819487648898,61.70958530714719,22.531865707310562,61.0,171.0,0.0,0.0,31.0,9.0,0.0,122.0,349.0,24207.91518520094,105.82058328563322,47.31873584761658,45.0,145.0,0.0,0.0,18.0,5.0,0.0,90.0,148.0,8695.999664381243,18.527322931837464,1.5651610668123135,0.4939389874371559,0.32777517564402814,0.377045774014505,13909.274614305748,854,15.120397567749023,15.130121398018673,Random
4,0.3054989816700611,0.001673837227392834,2.58,6.506666666666667,269.92557565022116,1.7404286392890893,0.60478743735621,32.0,177.0,0.0,0.0,14.0,107.0,0.0,128.0,349.0,6926.305784905156,106.60718731880763,38.89461200100975,23.0,205.0,0.0,0.0,15.0,147.0,0.0,69.0,172.0,4506.52350714449,35.854701705888154,8.092547620763751,55.0,172.0,0.0,0.0,47.0,12.0,0.0,110.0,335.0,21968.493357966014,101.65340746393812,41.353056145908965,40.0,155.0,0.0,0.0,28.0,5.0,0.0,80.0,120.0,7087.513697517513,16.948999404729488,2.3778998357490377,0.48757264647803694,0.3048234811165846,0.3828670517066607,147503.5639589169,1015,17.65393328666687,17.66454763384536,Random
5,0.335632183908046,0.0024868253010333417,2.636986301369863,6.671232876712328,261.935032114099,1.6734675349763337,0.5002574960266465,31.0,172.0,0.0,0.0,13.0,107.0,0.0,124.0,347.0,6097.648301883475,103.02435980530097,34.12927792725919,31.0,173.0,0.0,0.0,12.0,107.0,0.0,93.0,219.0,6134.538632494342,53.86881009900725,14.849178560116073,46.0,141.0,0.0,0.0,29.0,14.0,0.0,92.0,285.0,18927.48573172708,70.6688796897732,23.888496099474676,38.0,161.0,0.0,0.0,29.0,9.0,0.0,76.0,123.0,7082.842022553558,16.76421051246327,0.17064183304044842,0.49025059990940406,0.3275666149269176,0.3916079277692691,33173.63485326219,859,14.977852821350098,14.98860065615736,Random
6,0.3348729792147806,0.0017949057525481942,2.6206896551724137,6.2620689655172415,261.84839883559937,1.5989381184854847,0.5285935311390295,37.0,156.0,0.0,0.0,16.0,78.0,0.0,148.0,319.0,7628.254147454213,98.41991279118307,39.06826264658595,16.0,156.0,0.0,0.0,14.0,109.0,0.0,48.0,143.0,3367.939198222504,37.78006721215785,9.569453460845786,42.0,159.0,0.0,0.0,44.0,18.0,0.0,84.0,285.0,16714.523699450005,73.39483971856609,25.92981756251117,50.0,179.0,0.0,0.0,25.0,10.0,0.0,100.0,161.0,10257.300786035183,22.251207458488274,2.078528345216391,0.4079783008889601,0.27874320749320747,0.3193809618994293,8608.325143325146,777,13.78935980796814,13.800414193887264,Random
7,0.3073394495412844,0.0018937812109711117,2.5522388059701493,6.223880597014926,256.8504961112612,1.6357447561661975,0.5723115420946933,25.0,152.0,0.0,0.0,8.0,96.0,0.0,100.0,266.0,5165.663863707216,87.60660992238351,32.49863060296534,24.0,158.0,0.0,0.0,13.0,100.0,0.0,72.0,186.0,5041.690187066738,47.14121670305113,14.15770074693975,39.0,147.0,0.0,0.0,43.0,13.0,0.0,78.0,241.0,15274.538451295397,66.26832388401378,27.849209164750445,46.0,161.0,0.0,0.0,23.0,7.0,0.0,92.0,141.0,8936.073976839647,18.173646816822057,2.184206126033358,0.44613432682485515,0.29684422348484846,0.32814233658570713,18165.003565062387,880,15.236515283584595,15.245380910811946,Random
8,0.3893617021276596,0.003521743842816676,2.5136612021857925,6.103825136612022,274.16650386254383,1.6967844903914968,0.632712034833043,34.0,163.0,0.0,0.0,11.0,88.0,0.0,136.0,317.0,6719.352164502884,116.11269059338376,50.615346360718384,26.0,150.0,0.0,0.0,16.0,83.0,0.0,78.0,201.0,5294.167055673523,54.644340146079024,15.510102559234868,72.0,206.0,0.0,0.0,39.0,8.0,0.0,144.0,424.0,28349.60134536518,114.13869476009444,46.03138379517694,51.0,183.0,0.0,0.0,25.0,11.0,0.0,102.0,175.0,9809.34964130394,25.61583624208666,3.6294696593166527,0.44061688165522334,0.30711886304909564,0.3632881937913009,3611.5952380952367,774,13.503802299499512,13.51317116082646,Random
9,0.27289719626168224,0.001052705521913733,2.595890410958904,6.109589041095891,268.16483060714944,1.6484330908089844,0.5371595844204438,32.0,210.0,0.0,0.0,18.0,147.0,0.0,128.0,328.0,6357.905508516099,105.01754725185579,35.38582578157354,23.0,220.0,0.0,0.0,14.0,152.0,0.0,69.0,151.0,4518.079608779452,35.998727584025204,10.120914949124359,52.0,198.0,0.0,0.0,72.0,21.0,0.0,104.0,286.0,20679.525527775568,79.66606816372867,32.90654673078976,39.0,155.0,0.0,0.0,25.0,9.0,0.0,78.0,127.0,7596.554623572703,19.98888825850207,0.01201186389710833,0.5554563123578684,0.33830273892773893,0.4116865654292987,37501.82811059908,1144,19.847192764282227,19.85618532099761,Random
